DISTRICT,Year,ADJ_TOT_EXP
Adilabad,2014,66167110
Adilabad,2015,36999030
Adilabad,2016,50151171
Adilabad,2017,46861660
Adilabad,2018,61421207
Adilabad,2019,59961635
Adilabad,2020,23767280
Adilabad,2021,47929381
Adilabad,2022,89202258
Adilabad,2023,156347567
Adilabad,2024,153442832
Adilabad,2025,56932962
Agra,2014,99737422
Agra,2015,86773924
Agra,2016,70544303
Agra,2017,73857801
Agra,2018,92741675
Agra,2019,95729721
Agra,2020,57631109
Agra,2021,66617382
Agra,2022,78342666
Agra,2023,109600671
Agra,2024,117337304
Agra,2025,47061721
Ahmadabad,2014,84045047
Ahmadabad,2015,87261347
Ahmadabad,2016,83523220
Ahmadabad,2017,99429989
Ahmadabad,2018,133529948
Ahmadabad,2019,120597704
Ahmadabad,2020,72560835
Ahmadabad,2021,140827431
Ahmadabad,2022,124213143
Ahmadabad,2023,106935368
Ahmadabad,2024,111977177
Ahmadabad,2025,50674110
Ahmadnagar,2014,85433710
Ahmadnagar,2015,89099327
Ahmadnagar,2016,126492702
Ahmadnagar,2017,122557158
Ahmadnagar,2018,121315032
Ahmadnagar,2019,138063484
Ahmadnagar,2020,67858790
Ahmadnagar,2021,83952168
Ahmadnagar,2022,95068009
Ahmadnagar,2023,94182605
Ahmadnagar,2024,108288878
Ahmadnagar,2025,29152820
Ajmer,2014,31542936
Ajmer,2015,31814543
Ajmer,2016,40489623
Ajmer,2017,59152510
Ajmer,2018,80061333
Ajmer,2019,85497718
Ajmer,2020,53826600
Ajmer,2021,49663449
Ajmer,2022,137958185
Ajmer,2023,131457995
Ajmer,2024,141670287
Ajmer,2025,39113863
Akola,2016,15107405
Akola,2017,24470900
Akola,2018,24602385
Akola,2019,27142513
Akola,2020,4315632
Akola,2021,16802937
Akola,2022,26987098
Akola,2023,29257659
Akola,2024,24231938
Akola,2025,9044234
Alappuzha,2014,42562801
Alappuzha,2015,46839946
Alappuzha,2016,41592005
Alappuzha,2017,59343021
Alappuzha,2018,62866715
Alappuzha,2019,81386962
Alappuzha,2020,48126337
Alappuzha,2021,49596998
Alappuzha,2022,85211207
Alappuzha,2023,97191067
Alappuzha,2024,89757984
Alappuzha,2025,35695640
Aligarh,2014,67719228
Aligarh,2015,68169901
Aligarh,2016,58433735
Aligarh,2017,56181882
Aligarh,2018,70705999
Aligarh,2019,65913147
Aligarh,2020,49081302
Aligarh,2021,48738554
Aligarh,2022,53973215
Aligarh,2023,65864405
Aligarh,2024,62537186
Aligarh,2025,27089608
Alirajpur,2014,3371155
Alirajpur,2015,4207719
