DISTRICT,MONTH,ADJ_TOT_EXP
Adilabad,Apr 2014,7153359
Adilabad,Apr 2015,3999696
Adilabad,Apr 2016,3692098
Adilabad,Apr 2017,3702495
Adilabad,Apr 2018,5199298
Adilabad,Apr 2019,5137256
Adilabad,Apr 2020,737675
Adilabad,Apr 2021,2942771
Adilabad,Apr 2022,7027686
Adilabad,Apr 2023,11848885
Adilabad,Apr 2024,11450171
Adilabad,Apr 2025,13656978
Adilabad,Aug 2014,5152887
Adilabad,Aug 2015,4268651
Adilabad,Aug 2016,3068467
Adilabad,Aug 2017,3513112
Adilabad,Aug 2018,4772327
Adilabad,Aug 2019,5185466
Adilabad,Aug 2020,3242943
Adilabad,Aug 2021,5142859
Adilabad,Aug 2022,7175328
Adilabad,Aug 2023,13643832
Adilabad,Aug 2024,12725076
Adilabad,Dec 2014,4497061
Adilabad,Dec 2015,4610920
Adilabad,Dec 2016,3188653
Adilabad,Dec 2017,4044481
Adilabad,Dec 2018,5448072
Adilabad,Dec 2019,1291262
Adilabad,Dec 2020,2215603
Adilabad,Dec 2021,5124161
Adilabad,Dec 2022,12399843
Adilabad,Dec 2023,9825820
Adilabad,Dec 2024,12839185
Adilabad,Feb 2014,8004817
Adilabad,Feb 2015,3991150
Adilabad,Feb 2016,4587296
Adilabad,Feb 2017,3102374
Adilabad,Feb 2018,4394464
Adilabad,Feb 2019,5700770
Adilabad,Feb 2020,1124813
Adilabad,Feb 2021,2316468
Adilabad,Feb 2022,5312967
Adilabad,Feb 2023,12142404
Adilabad,Feb 2024,9750321
Adilabad,Feb 2025,13513317
Adilabad,Jan 2014,7938765
Adilabad,Jan 2015,4151511
Adilabad,Jan 2016,5369117
Adilabad,Jan 2017,4230873
Adilabad,Jan 2018,5317473
Adilabad,Jan 2019,5902063
Adilabad,Jan 2020,1384632
Adilabad,Jan 2021,2583842
Adilabad,Jan 2022,5711718
Adilabad,Jan 2023,12872007
Adilabad,Jan 2024,11289700
Adilabad,Jan 2025,15534908
Adilabad,Jul 2014,4359452
Adilabad,Jul 2015,3870819
Adilabad,Jul 2016,4737858
Adilabad,Jul 2017,4209506
Adilabad,Jul 2018,5457545
Adilabad,Jul 2019,4852301
Adilabad,Jul 2020,971003
Adilabad,Jul 2021,3453314
Adilabad,Jul 2022,8121175
Adilabad,Jul 2023,13130794
Adilabad,Jul 2024,13932911
Adilabad,Jun 2014,4339676
Adilabad,Jun 2015,4204651
Adilabad,Jun 2016,3989212
Adilabad,Jun 2017,3674711
Adilabad,Jun 2018,5375114
Adilabad,Jun 2019,4965382
Adilabad,Jun 2020,978803
Adilabad,Jun 2021,3255539
Adilabad,Jun 2022,6832312
Adilabad,Jun 2023,13743253
Adilabad,Jun 2024,13532062
Adilabad,Mar 2014,7944880
Adilabad,Mar 2015,3891563
Adilabad,Mar 2016,5205530
Adilabad,Mar 2017,3917872
Adilabad,Mar 2018,4496325
Adilabad,Mar 2019,5371170
Adilabad,Mar 2020,989504
Adilabad,Mar 2021,2233005
Adilabad,Mar 2022,5834585
Adilabad,Mar 2023,13026875
Adilabad,Mar 2024,10437694
Adilabad,Mar 2025,14227759
Adilabad,May 2014,3930948
Adilabad,May 2015,4010069
Adilabad,May 2016,4250786
Adilabad,May 2017,4130801
Adilabad,May 2018,5402806
Adilabad,May 2019,4950306
Adilabad,May 2020,986674
Adilabad,May 2021,3328618
Adilabad,May 2022,7273560
Adilabad,May 2023,12432249
Adilabad,May 2024,13423244
Adilabad,Nov 2014,4170368
Adilabad,Nov 2016,4328387
Adilabad,Nov 2017,4060490
Adilabad,Nov 2018,5070665
Adilabad,Nov 2019,4888988
Adilabad,Nov 2020,3745537
Adilabad,Nov 2021,6298045
Adilabad,Nov 2022,7965006
Adilabad,Nov 2023,14980683
Adilabad,Nov 2024,14303498
Adilabad,Oct 2014,4298266
Adilabad,Oct 2016,3276244
Adilabad,Oct 2017,3826020
Adilabad,Oct 2018,5673772
Adilabad,Oct 2019,6439253
Adilabad,Oct 2020,3743022
Adilabad,Oct 2021,5684840
Adilabad,Oct 2022,7986227
Adilabad,Oct 2023,14098425
Adilabad,Oct 2024,15678342
Adilabad,Sep 2014,4376631
Adilabad,Sep 2016,4457523
Adilabad,Sep 2017,4448925
Adilabad,Sep 2018,4813346
Adilabad,Sep 2019,5277418
Adilabad,Sep 2020,3647071
Adilabad,Sep 2021,5565919
Adilabad,Sep 2022,7561851
Adilabad,Sep 2023,14602340
Adilabad,Sep 2024,14080628
Agra,Apr 2014,9697976
Agra,Apr 2015,7101165
Agra,Apr 2016,6863879
Agra,Apr 2017,6145956
Agra,Apr 2018,8420854
Agra,Apr 2019,7022419
Agra,Apr 2020,2104600
Agra,Apr 2021,6072657
Agra,Apr 2022,6928070
Agra,Apr 2023,8633135
Agra,Apr 2024,8880218
Agra,Apr 2025,11594518
Agra,Aug 2014,9306103
Agra,Aug 2015,7162778
Agra,Aug 2016,5525852
Agra,Aug 2017,6488616
Agra,Aug 2018,7764277
Agra,Aug 2019,8200027
Agra,Aug 2020,6753567
Agra,Aug 2021,5865714
Agra,Aug 2022,6968375
Agra,Aug 2023,8766032
Agra,Aug 2024,9303196
Agra,Dec 2014,7282497
Agra,Dec 2015,7966518
Agra,Dec 2016,6111590
Agra,Dec 2017,6321276
Agra,Dec 2018,7869532
Agra,Dec 2019,9548986
Agra,Dec 2020,5824632
Agra,Dec 2021,6306502
Agra,Dec 2022,7623005
Agra,Dec 2023,10355134
Agra,Dec 2024,10999798
Agra,Feb 2014,9080801
Agra,Feb 2015,6942434
Agra,Feb 2016,6445601
Agra,Feb 2017,5461298
Agra,Feb 2018,8157984
Agra,Feb 2019,6978347
Agra,Feb 2020,3183065
Agra,Feb 2021,5636411
Agra,Feb 2022,5935980
Agra,Feb 2023,8387153
Agra,Feb 2024,8646747
Agra,Feb 2025,11490029
Agra,Jan 2014,8811911
Agra,Jan 2015,6697006
Agra,Jan 2016,6565950
Agra,Jan 2017,5743823
Agra,Jan 2018,7764384
Agra,Jan 2019,6349430
Agra,Jan 2020,3205108
Agra,Jan 2021,5081094
Agra,Jan 2022,5585237
Agra,Jan 2023,7919930
Agra,Jan 2024,8242016
Agra,Jan 2025,12228633
Agra,Jul 2014,8525751
Agra,Jul 2015,6865451
Agra,Jul 2016,5204570
Agra,Jul 2017,6539944
Agra,Jul 2018,7309923
Agra,Jul 2019,7699106
Agra,Jul 2020,5893794
Agra,Jul 2021,5173662
Agra,Jul 2022,6104218
Agra,Jul 2023,8678701
Agra,Jul 2024,9279975
Agra,Jun 2014,8370201
Agra,Jun 2015,7059802
Agra,Jun 2016,5139892
Agra,Jun 2017,6182761
Agra,Jun 2018,7344909
Agra,Jun 2019,8455862
Agra,Jun 2020,6013775
Agra,Jun 2021,5507270
Agra,Jun 2022,6585348
Agra,Jun 2023,8717433
Agra,Jun 2024,8784812
Agra,Mar 2014,9140449
Agra,Mar 2015,6804346
Agra,Mar 2016,6445279
Agra,Mar 2017,5713512
Agra,Mar 2018,7597171
Agra,Mar 2019,6735857
Agra,Mar 2020,3008206
Agra,Mar 2021,5133150
Agra,Mar 2022,5830448
Agra,Mar 2023,8161050
Agra,Mar 2024,8642241
Agra,Mar 2025,11748541
Agra,May 2014,8643905
Agra,May 2015,6685181
Agra,May 2016,5260275
Agra,May 2017,6392512
Agra,May 2018,6946725
Agra,May 2019,7110845
Agra,May 2020,4381382
Agra,May 2021,5070165
Agra,May 2022,6022967
Agra,May 2023,8242428
Agra,May 2024,8374509
Agra,Nov 2014,6943259
Agra,Nov 2015,8007647
Agra,Nov 2016,5816868
Agra,Nov 2017,6313385
Agra,Nov 2018,8055298
Agra,Nov 2019,9033325
Agra,Nov 2020,5905774
Agra,Nov 2021,5367118
Agra,Nov 2022,6805168
Agra,Nov 2023,11253899
Agra,Nov 2024,12439858
Agra,Oct 2014,7098530
Agra,Oct 2015,7752056
Agra,Oct 2016,5570276
Agra,Oct 2017,6323871
Agra,Oct 2018,7948513
Agra,Oct 2019,9919202
Agra,Oct 2020,5941710
Agra,Oct 2021,6034788
Agra,Oct 2022,7220857
