State,District,Year,arhar_area,arhar_production,arhar_yield
Andaman and Nicobar Islands,North and middle andaman,2013-2014,1.0,3.0,3.0
Andaman and Nicobar Islands,North and middle andaman,2014-2015,13.9,13.8,0.99
Andaman and Nicobar Islands,North and middle andaman,2015-2016,0.5,0.3,0.6
Andaman and Nicobar Islands,North and middle andaman,2016-2017,6.5,0.3,0.05
Andaman and Nicobar Islands,North and middle andaman,2017-2018,1.2,0.6,0.5
Andaman and Nicobar Islands,North and middle andaman,2020-2021,2.1,0.2,0.1
Andaman and Nicobar Islands,North and middle andaman,2021-2022,2.7,0.5,0.19
Andaman and Nicobar Islands,North and middle andaman,2022-2023,1.0,0.3,0.3
Andaman and Nicobar Islands,South andamans,2013-2014,0.5,0.2,0.4
Andaman and Nicobar Islands,South andamans,2014-2015,1.0,0.4,0.4
Andaman and Nicobar Islands,South andamans,2015-2016,0.5,0.2,0.4
Andhra Pradesh,Alluri sitharama raju,2022-2023,989.0,263.0,0.52
Andhra Pradesh,Anakapalli,2022-2023,81.0,18.0,0.22
Andhra Pradesh,Anantapur,2013-2014,49932.0,9287.0,0.19
Andhra Pradesh,Anantapur,2014-2015,37562.0,4845.0,0.13
Andhra Pradesh,Anantapur,2015-2016,38511.0,8318.0,0.22
Andhra Pradesh,Anantapur,2016-2017,70261.0,6956.0,0.1
Andhra Pradesh,Anantapur,2017-2018,72813.0,14126.0,0.19
Andhra Pradesh,Anantapur,2018-2019,48974.0,2791.0,0.06
Andhra Pradesh,Anantapur,2019-2020,39458.0,7931.0,0.4
Andhra Pradesh,Anantapur,2020-2021,47411.0,3461.0,0.15
Andhra Pradesh,Anantapur,2021-2022,64861.0,1686.0,0.03
Andhra Pradesh,Anantapur,2022-2023,57271.0,16666.0,0.6
Andhra Pradesh,Annamayya,2022-2023,1866.0,557.0,0.7
Andhra Pradesh,Bapatla,2022-2023,753.0,251.0,0.6799999999999999
Andhra Pradesh,Chittoor,2013-2014,7611.0,1926.0,0.55
Andhra Pradesh,Chittoor,2014-2015,6840.0,1669.0,0.24
Andhra Pradesh,Chittoor,2015-2016,6782.0,1987.0,0.29
Andhra Pradesh,Chittoor,2016-2017,9019.0,1019.0,0.11
Andhra Pradesh,Chittoor,2017-2018,8014.0,2036.0,0.25
Andhra Pradesh,Chittoor,2018-2019,6992.0,1132.0,0.16
Andhra Pradesh,Chittoor,2019-2020,5915.0,455.0,0.08
Andhra Pradesh,Chittoor,2020-2021,7754.0,954.0,0.12
Andhra Pradesh,Chittoor,2021-2022,6988.0,804.0,0.12
Andhra Pradesh,Chittoor,2022-2023,2930.0,586.0,0.2
Andhra Pradesh,East godavari,2013-2014,516.0,496.0,1.92
Andhra Pradesh,East godavari,2014-2015,2220.0,1854.0,1.68
Andhra Pradesh,East godavari,2015-2016,2975.0,1243.0,0.83
Andhra Pradesh,East godavari,2016-2017,2791.0,851.0,0.61
Andhra Pradesh,East godavari,2017-2018,2314.0,884.0,0.76
Andhra Pradesh,East godavari,2018-2019,1445.0,305.0,0.42
Andhra Pradesh,East godavari,2019-2020,678.0,252.0,0.74
Andhra Pradesh,East godavari,2020-2021,197.0,70.0,0.69
Andhra Pradesh,East godavari,2021-2022,423.0,172.0,0.81
Andhra Pradesh,East godavari,2022-2023,13.0,5.0,0.38
Andhra Pradesh,Eluru,2022-2023,11.0,4.0,0.36
Andhra Pradesh,Guntur,2013-2014,13871.0,17464.0,2.52
Andhra Pradesh,Guntur,2014-2015,9054.0,14106.0,3.12
Andhra Pradesh,Guntur,2015-2016,21681.0,26147.0,2.42
Andhra Pradesh,Guntur,2016-2017,32879.0,32912.0,2.0
Andhra Pradesh,Guntur,2017-2018,28585.0,32044.0,2.24
Andhra Pradesh,Guntur,2018-2019,20008.0,13506.0,1.36
