State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2013 - 2014,1,3,3,,,,,,
,,2014 - 2015,13.9,13.8,0.99,,,,,,
,,2015 - 2016,0.5,0.3,0.6,,,,,,
,,2016 - 2017,6.5,0.3,0.05,,,,,,
,,2017 - 2018,1.2,0.6,0.5,,,,,,
,,2020 - 2021,2.1,0.2,0.1,,,,,,
,,2021 - 2022,2.7,0.5,0.19,,,,,,
,,2022 - 2023,1,0.3,0.3,,,,,,
,2. South andamans,2013 - 2014,0.5,0.2,0.4,,,,,,
,,2014 - 2015,1,0.4,0.4,,,,,,
,,2015 - 2016,0.5,0.2,0.4,,,,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,4,1,0.25,985,262,0.27,,,
,2. Anakapalli,2022 - 2023,,,,81,18,0.22,,,
,3. Anantapur,2013 - 2014,,,,"49,932.00","9,287.00",0.19,,,
,,2014 - 2015,,,,"37,562.00","4,845.00",0.13,,,
,,2015 - 2016,,,,"38,511.00","8,318.00",0.22,,,
,,2016 - 2017,1,,0,"70,260.00","6,956.00",0.1,,,
,,2017 - 2018,,,,"72,813.00","14,126.00",0.19,,,
,,2018 - 2019,2,,0,"48,972.00","2,791.00",0.06,,,
,,2019 - 2020,44,9,0.2,"39,414.00","7,922.00",0.2,,,
,,2020 - 2021,48,4,0.08,"47,363.00","3,457.00",0.07,,,
,,2021 - 2022,,,,"64,861.00","1,686.00",0.03,,,
,,2022 - 2023,13,4,0.31,"57,258.00","16,662.00",0.29,,,
,4. Annamayya,2022 - 2023,5,2,0.4,"1,861.00",555,0.3,,,
,5. Bapatla,2022 - 2023,57,20,0.35,696,231,0.33,,,
,6. Chittoor,2013 - 2014,10,3,0.3,"7,601.00","1,923.00",0.25,,,
,,2014 - 2015,,,,"6,840.00","1,669.00",0.24,,,
,,2015 - 2016,,,,"6,782.00","1,987.00",0.29,,,
,,2016 - 2017,,,,"9,019.00","1,019.00",0.11,,,
,,2017 - 2018,,,,"8,014.00","2,036.00",0.25,,,
,,2018 - 2019,2,,0,"6,990.00","1,132.00",0.16,,,
,,2019 - 2020,,,,"5,915.00",455,0.08,,,
,,2020 - 2021,,,,"7,754.00",954,0.12,,,
,,2021 - 2022,,,,"6,988.00",804,0.12,,,
,,2022 - 2023,,,,"2,930.00",586,0.2,,,
,7. East godavari,2013 - 2014,51,49,0.96,465,447,0.96,,,
,,2014 - 2015,56,47,0.84,"2,164.00","1,807.00",0.84,,,
,,2015 - 2016,104,43,0.41,"2,871.00","1,200.00",0.42,,,
,,2016 - 2017,236,72,0.31,"2,555.00",779,0.3,,,
,,2017 - 2018,74,28,0.38,"2,240.00",856,0.38,,,
,,2018 - 2019,39,8,0.21,"1,406.00",297,0.21,,,
,,2019 - 2020,63,23,0.37,615,229,0.37,,,
,,2020 - 2021,9,3,0.33,188,67,0.36,,,
,,2021 - 2022,50,20,0.4,373,152,0.41,,,
,,2022 - 2023,,,,13,5,0.38,,,
,8. Eluru,2022 - 2023,,,,11,4,0.36,,,
,9. Guntur,2013 - 2014,292,368,1.26,"13,579.00","17,096.00",1.26,,,
,,2014 - 2015,193,301,1.56,"8,861.00","13,805.00",1.56,,,
,,2015 - 2016,"1,412.00","1,703.00",1.21,"20,269.00","24,444.00",1.21,,,
,,2016 - 2017,"1,969.00","1,971.00",1,"30,910.00","30,941.00",1,,,
,,2017 - 2018,"2,287.00","2,564.00",1.12,"26,298.00","29,480.00",1.12,,,
,,2018 - 2019,"1,060.00",716,0.68,"18,948.00","12,790.00",0.68,,,
,,2019 - 2020,"2,064.00","1,505.00",0.73,"18,004.00","13,125.00",0.73,,,
,,2020 - 2021,"2,390.00","1,778.00",0.74,"18,452.00","13,728.00",0.74,,,
,,2021 - 2022,"2,772.00","2,437.00",0.88,"24,407.00","21,454.00",0.88,,,
,,2022 - 2023,40,14,0.35,115,41,0.36,,,
,10. Kadapa,2013 - 2014,31,9,0.29,"8,085.00","2,442.00",0.3,,,
,,2014 - 2015,24,4,0.17,"2,367.00",360,0.15,,,
,,2015 - 2016,54,22,0.41,"7,709.00","3,084.00",0.4,,,
,,2016 - 2017,32,6,0.19,"17,885.00","3,488.00",0.2,,,
