State,District,Year,cotton_area,cotton_production,cotton_yield
Andhra Pradesh,Alluri sitharama raju,2022-2023,"2,682.00","7,614.00",2.84
Andhra Pradesh,Anakapalli,2022-2023,82,230,2.8
Andhra Pradesh,Anantapur,2013-2014,"37,661.0062","77,316.00127",4.1
Andhra Pradesh,Anantapur,2014-2015,"73,734.00884","1,03,779.001,244.00",2.82
Andhra Pradesh,Anantapur,2015-2016,"60,154.00633","1,00,071.001,053.00",3.32
Andhra Pradesh,Anantapur,2016-2017,"31,691.00108","25,977.0088",1.63
Andhra Pradesh,Anantapur,2017-2018,"45,438.00114","1,28,798.00322",5.65
Andhra Pradesh,Anantapur,2018-2019,"47,976.00139","66,591.00192",2.77
Andhra Pradesh,Anantapur,2019-2020,"51,850.00113","15,523.00199",2.06
Andhra Pradesh,Anantapur,2020-2021,"40,424.00211","35,183.00183",1.74
Andhra Pradesh,Anantapur,2021-2022,"42,806.00566","33,668.00445",1.58
Andhra Pradesh,Anantapur,2022-2023,"77,804.001,256.00","87,643.002,298.00",2.96
Andhra Pradesh,Annamayya,2022-2023,50124,92226,3.66
Andhra Pradesh,Bapatla,2022-2023,"4,598.00182","9,745.00511",4.93
Andhra Pradesh,Chittoor,2013-2014,157194,391483,4.98
Andhra Pradesh,Chittoor,2014-2015,308545,"7231,278.00",4.69
Andhra Pradesh,Chittoor,2015-2016,435707,"7611,239.00",3.5
Andhra Pradesh,Chittoor,2016-2017,517259,"1,311.00395",4.07
Andhra Pradesh,Chittoor,2017-2018,328169,877451,5.34
Andhra Pradesh,Chittoor,2018-2019,17794,218117,2.47
Andhra Pradesh,Chittoor,2019-2020,15779,82244,3.61
Andhra Pradesh,Chittoor,2020-2021,2865,78179,5.54
Andhra Pradesh,Chittoor,2021-2022,5194,89165,3.51
Andhra Pradesh,Chittoor,2022-2023,265,4710,3.81
Andhra Pradesh,East godavari,2013-2014,"21,781.00","24,728.00",1.14
Andhra Pradesh,East godavari,2014-2015,"22,433.00","47,597.00",2.12
Andhra Pradesh,East godavari,2015-2016,"20,565.00","60,153.00",2.93
Andhra Pradesh,East godavari,2016-2017,"12,743.00","33,744.00",2.65
Andhra Pradesh,East godavari,2017-2018,"16,364.00","35,740.00",2.18
Andhra Pradesh,East godavari,2018-2019,"11,933.00","31,637.00",2.65
Andhra Pradesh,East godavari,2019-2020,"12,896.00","6,617.00",0.51
Andhra Pradesh,East godavari,2020-2021,"6,962.00","15,995.00",2.3
Andhra Pradesh,East godavari,2021-2022,"5,023.00","18,529.00",3.69
Andhra Pradesh,East godavari,2022-2023,198,556,2.81
Andhra Pradesh,Eluru,2022-2023,"3,786.001","11,402.002",5.01
Andhra Pradesh,Guntur,2013-2014,"1,93,207.00","7,52,371.00",3.89
Andhra Pradesh,Guntur,2014-2015,"2,06,374.0022","10,75,856.00115",10.44
Andhra Pradesh,Guntur,2015-2016,"1,98,220.0079","7,68,744.00306",7.75
Andhra Pradesh,Guntur,2016-2017,"1,41,856.008","6,54,201.0037",9.24
Andhra Pradesh,Guntur,2017-2018,"1,83,735.00","8,02,213.00",4.37
Andhra Pradesh,Guntur,2018-2019,"1,76,679.0016","7,43,399.0067",8.4
Andhra Pradesh,Guntur,2019-2020,"1,82,408.0011","1,67,541.0059",6.28
Andhra Pradesh,Guntur,2020-2021,"1,62,789.006","4,58,324.0018",5.82
Andhra Pradesh,Guntur,2021-2022,"1,09,585.00","3,83,294.00",3.5
Andhra Pradesh,Guntur,2022-2023,"27,843.00","90,425.00",3.25
Andhra Pradesh,Kadapa,2013-2014,"34,119.001,803.00","50,175.002,651.00",2.94
Andhra Pradesh,Kadapa,2014-2015,"34,346.001,246.00","57,550.002,088.00",3.36
Andhra Pradesh,Kadapa,2015-2016,"32,753.00756","46,665.001,078.00",2.85
Andhra Pradesh,Kadapa,2016-2017,"18,840.00560","17,430.00517",1.85
Andhra Pradesh,Kadapa,2017-2018,"24,449.00354","17,720.00256",1.44
Andhra Pradesh,Kadapa,2018-2019,"10,940.00677","22,268.001,378.00",4.08
Andhra Pradesh,Kadapa,2019-2020,"13,410.001,132.00","9,576.004,755.00",4.91
Andhra Pradesh,Kadapa,2020-2021,"15,227.001,321.00","15,625.001,355.00",2.06
Andhra Pradesh,Kadapa,2021-2022,"22,496.006,647.00","41,421.0012,239.00",3.68
Andhra Pradesh,Kadapa,2022-2023,"46,263.003,461.00","34,651.006,334.00",2.58
Andhra Pradesh,Kakinada,2022-2023,"2,064.00","7,502.00",3.63
Andhra Pradesh,Krishna,2013-2014,"59,304.00","2,24,658.00",3.79
Andhra Pradesh,Krishna,2014-2015,"55,571.00","2,61,650.00",4.71
Andhra Pradesh,Krishna,2015-2016,"52,784.00","2,00,829.00",3.8
Andhra Pradesh,Krishna,2016-2017,"37,312.00","1,59,453.00",4.27
Andhra Pradesh,Krishna,2017-2018,"48,357.00","1,95,830.00",4.05
Andhra Pradesh,Krishna,2018-2019,"47,109.00","1,74,431.00",3.7
Andhra Pradesh,Krishna,2019-2020,"48,423.00","37,671.00",0.78
Andhra Pradesh,Krishna,2020-2021,"47,851.00","1,11,337.00",2.33
Andhra Pradesh,Krishna,2021-2022,"36,172.00","1,37,397.00",3.8
Andhra Pradesh,Krishna,2022-2023,320,900,2.81
Andhra Pradesh,Kurnool,2013-2014,"2,03,835.00179","6,79,850.00597",6.68
Andhra Pradesh,Kurnool,2014-2015,"3,06,058.002","8,09,620.006",5.65
Andhra Pradesh,Kurnool,2015-2016,"2,00,123.007","3,66,412.0012",3.54
Andhra Pradesh,Kurnool,2016-2017,"1,76,195.00","5,31,777.00",3.02
Andhra Pradesh,Kurnool,2017-2018,"2,59,225.00","7,33,779.00",2.83
Andhra Pradesh,Kurnool,2018-2019,"2,59,498.00","3,04,183.00",1.17
Andhra Pradesh,Kurnool,2019-2020,"2,74,620.00","1,53,618.00",0.56
Andhra Pradesh,Kurnool,2020-2021,"2,75,798.003","8,62,950.0010",6.46
Andhra Pradesh,Kurnool,2021-2022,"2,66,365.006","5,08,867.0012",3.91
Andhra Pradesh,Kurnool,2022-2023,"2,72,560.00","6,15,123.00",2.26
Andhra Pradesh,Nandyal,2022-2023,"33,223.0016","56,952.0029",3.52
Andhra Pradesh,Ntr,2022-2023,"39,208.003","1,31,034.008",6.01
Andhra Pradesh,Palnadu,2022-2023,"1,04,942.008","3,17,708.0022",5.779999999999999
Andhra Pradesh,Parvathipuram manyam,2022-2023,"8,845.00","27,229.00",3.08
Andhra Pradesh,Prakasam,2013-2014,"82,988.001,352.00","2,76,301.004,501.00",6.66
Andhra Pradesh,Prakasam,2014-2015,"71,520.00651","2,52,407.002,298.00",7.06
Andhra Pradesh,Prakasam,2015-2016,"58,025.00214","1,63,447.00602",5.63
Andhra Pradesh,Prakasam,2016-2017,"14,105.001,671.00","43,441.005,151.00",6.16
Andhra Pradesh,Prakasam,2017-2018,"35,076.00496","84,281.001,192.00",4.8
Andhra Pradesh,Prakasam,2018-2019,"38,467.00255","77,234.00513",4.02
Andhra Pradesh,Prakasam,2019-2020,"45,376.001,114.00","22,296.003,219.00",3.38
Andhra Pradesh,Prakasam,2020-2021,"32,175.00808","44,541.001,118.00",2.76
Andhra Pradesh,Prakasam,2021-2022,"32,341.009,008.00","62,180.0017,320.00",3.84
Andhra Pradesh,Prakasam,2022-2023,"46,588.002,483.00","79,038.006,985.00",4.51
Andhra Pradesh,Spsr nellore,2013-2014,"5,220.001,565.00","13,081.003,922.00",5.02
Andhra Pradesh,Spsr nellore,2014-2015,"6,615.002,872.00","20,463.008,885.00",6.18
Andhra Pradesh,Spsr nellore,2015-2016,"4,617.00998","10,969.002,372.00",4.76
Andhra Pradesh,Spsr nellore,2016-2017,"2,124.005,484.00","5,169.0013,355.00",4.87
Andhra Pradesh,Spsr nellore,2017-2018,"3,863.00964","7,591.001,895.00",3.94
Andhra Pradesh,Spsr nellore,2018-2019,"7912,223.00","2,097.005,895.00",5.3
