State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
1. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,"2,682.00","7,614.00",2.84,,,,,,,,,
,2. Anakapalli,2022 - 2023,82,230,2.8,,,,,,,,,
,3. Anantapur,2013 - 2014,"37,661.00","77,316.00",2.05,62,127,2.05,,,,,,
,,2014 - 2015,"73,734.00","1,03,779.00",1.41,884,"1,244.00",1.41,,,,,,
,,2015 - 2016,"60,154.00","1,00,071.00",1.66,633,"1,053.00",1.66,,,,,,
,,2016 - 2017,"31,691.00","25,977.00",0.82,108,88,0.81,,,,,,
,,2017 - 2018,"45,438.00","1,28,798.00",2.83,114,322,2.82,,,,,,
,,2018 - 2019,"47,976.00","66,591.00",1.39,139,192,1.38,,,,,,
,,2019 - 2020,"51,850.00","15,523.00",0.3,113,199,1.76,,,,,,
,,2020 - 2021,"40,424.00","35,183.00",0.87,211,183,0.87,,,,,,
,,2021 - 2022,"42,806.00","33,668.00",0.79,566,445,0.79,,,,,,
,,2022 - 2023,"77,804.00","87,643.00",1.13,"1,256.00","2,298.00",1.83,,,,,,
,4. Annamayya,2022 - 2023,50,92,1.84,124,226,1.82,,,,,,
,5. Bapatla,2022 - 2023,"4,598.00","9,745.00",2.12,182,511,2.81,,,,,,
,6. Chittoor,2013 - 2014,157,391,2.49,194,483,2.49,,,,,,
,,2014 - 2015,308,723,2.35,545,"1,278.00",2.34,,,,,,
,,2015 - 2016,435,761,1.75,707,"1,239.00",1.75,,,,,,
,,2016 - 2017,517,"1,311.00",2.54,259,395,1.53,,,,,,
,,2017 - 2018,328,877,2.67,169,451,2.67,,,,,,
,,2018 - 2019,177,218,1.23,94,117,1.24,,,,,,
,,2019 - 2020,157,82,0.52,79,244,3.09,,,,,,
,,2020 - 2021,28,78,2.79,65,179,2.75,,,,,,
,,2021 - 2022,51,89,1.75,94,165,1.76,,,,,,
,,2022 - 2023,26,47,1.81,5,10,2,,,,,,
,7. East godavari,2013 - 2014,"21,781.00","24,728.00",1.14,,,,,,,,,
,,2014 - 2015,"22,433.00","47,597.00",2.12,,,,,,,,,
,,2015 - 2016,"20,565.00","60,153.00",2.93,,,,,,,,,
,,2016 - 2017,"12,743.00","33,744.00",2.65,,,,,,,,,
,,2017 - 2018,"16,364.00","35,740.00",2.18,,,,,,,,,
,,2018 - 2019,"11,933.00","31,637.00",2.65,,,,,,,,,
,,2019 - 2020,"12,896.00","6,617.00",0.51,,,,,,,,,
,,2020 - 2021,"6,962.00","15,995.00",2.3,,,,,,,,,
,,2021 - 2022,"5,023.00","18,529.00",3.69,,,,,,,,,
,,2022 - 2023,198,556,2.81,,,,,,,,,
,8. Eluru,2022 - 2023,"3,786.00","11,402.00",3.01,1,2,2,,,,,,
,9. Guntur,2013 - 2014,"1,93,207.00","7,52,371.00",3.89,,,,,,,,,
,,2014 - 2015,"2,06,374.00","10,75,856.00",5.21,22,115,5.23,,,,,,
,,2015 - 2016,"1,98,220.00","7,68,744.00",3.88,79,306,3.87,,,,,,
,,2016 - 2017,"1,41,856.00","6,54,201.00",4.61,8,37,4.63,,,,,,
,,2017 - 2018,"1,83,735.00","8,02,213.00",4.37,,,,,,,,,
,,2018 - 2019,"1,76,679.00","7,43,399.00",4.21,16,67,4.19,,,,,,
,,2019 - 2020,"1,82,408.00","1,67,541.00",0.92,11,59,5.36,,,,,,
,,2020 - 2021,"1,62,789.00","4,58,324.00",2.82,6,18,3,,,,,,
,,2021 - 2022,"1,09,585.00","3,83,294.00",3.5,,,,,,,,,
,,2022 - 2023,"27,843.00","90,425.00",3.25,,,,,,,,,
,10. Kadapa,2013 - 2014,"34,119.00","50,175.00",1.47,"1,803.00","2,651.00",1.47,,,,,,
,,2014 - 2015,"34,346.00","57,550.00",1.68,"1,246.00","2,088.00",1.68,,,,,,
,,2015 - 2016,"32,753.00","46,665.00",1.42,756,"1,078.00",1.43,,,,,,
,,2016 - 2017,"18,840.00","17,430.00",0.93,560,517,0.92,,,,,,
,,2017 - 2018,"24,449.00","17,720.00",0.72,354,256,0.72,,,,,,
,,2018 - 2019,"10,940.00","22,268.00",2.04,677,"1,378.00",2.04,,,,,,
,,2019 - 2020,"13,410.00","9,576.00",0.71,"1,132.00","4,755.00",4.2,,,,,,
,,2020 - 2021,"15,227.00","15,625.00",1.03,"1,321.00","1,355.00",1.03,,,,,,
,,2021 - 2022,"22,496.00","41,421.00",1.84,"6,647.00","12,239.00",1.84,,,,,,
,,2022 - 2023,"46,263.00","34,651.00",0.75,"3,461.00","6,334.00",1.83,,,,,,
,11. Kakinada,2022 - 2023,"2,064.00","7,502.00",3.63,,,,,,,,,
,12. Krishna,2013 - 2014,"59,304.00","2,24,658.00",3.79,,,,,,,,,
,,2014 - 2015,"55,571.00","2,61,650.00",4.71,,,,,,,,,
,,2015 - 2016,"52,784.00","2,00,829.00",3.8,,,,,,,,,
,,2016 - 2017,"37,312.00","1,59,453.00",4.27,,,,,,,,,
,,2017 - 2018,"48,357.00","1,95,830.00",4.05,,,,,,,,,
,,2018 - 2019,"47,109.00","1,74,431.00",3.7,,,,,,,,,
,,2019 - 2020,"48,423.00","37,671.00",0.78,,,,,,,,,
,,2020 - 2021,"47,851.00","1,11,337.00",2.33,,,,,,,,,
,,2021 - 2022,"36,172.00","1,37,397.00",3.8,,,,,,,,,
,,2022 - 2023,320,900,2.81,,,,,,,,,
,13. Kurnool,2013 - 2014,"2,03,835.00","6,79,850.00",3.34,179,597,3.34,,,,,,
,,2014 - 2015,"3,06,058.00","8,09,620.00",2.65,2,6,3,,,,,,
,,2015 - 2016,"2,00,123.00","3,66,412.00",1.83,7,12,1.71,,,,,,
,,2016 - 2017,"1,76,195.00","5,31,777.00",3.02,,,,,,,,,
,,2017 - 2018,"2,59,225.00","7,33,779.00",2.83,,,,,,,,,
,,2018 - 2019,"2,59,498.00","3,04,183.00",1.17,,,,,,,,,
,,2019 - 2020,"2,74,620.00","1,53,618.00",0.56,,,,,,,,,
,,2020 - 2021,"2,75,798.00","8,62,950.00",3.13,3,10,3.33,,,,,,
,,2021 - 2022,"2,66,365.00","5,08,867.00",1.91,6,12,2,,,,,,
,,2022 - 2023,"2,72,560.00","6,15,123.00",2.26,,,,,,,,,
,14. Nandyal,2022 - 2023,"33,223.00","56,952.00",1.71,16,29,1.81,,,,,,
,15. Ntr,2022 - 2023,"39,208.00","1,31,034.00",3.34,3,8,2.67,,,,,,
,16. Palnadu,2022 - 2023,"1,04,942.00","3,17,708.00",3.03,8,22,2.75,,,,,,
,17. Parvathipuram manyam,2022 - 2023,"8,845.00","27,229.00",3.08,,,,,,,,,
,18. Prakasam,2013 - 2014,"82,988.00","2,76,301.00",3.33,"1,352.00","4,501.00",3.33,,,,,,
,,2014 - 2015,"71,520.00","2,52,407.00",3.53,651,"2,298.00",3.53,,,,,,
