State,District,Year,gram_area,gram_production,gram_yield
Andhra Pradesh,Anakapalli,2022-2023,1.0,2.0,2.0
Andhra Pradesh,Anantapur,2013-2014,85768.0,68614.0,0.8
Andhra Pradesh,Anantapur,2014-2015,68092.0,38676.0,0.57
Andhra Pradesh,Anantapur,2015-2016,75799.0,34185.0,0.45
Andhra Pradesh,Anantapur,2016-2017,22874.0,5924.0,0.26
Andhra Pradesh,Anantapur,2017-2018,74397.0,50590.0,0.68
Andhra Pradesh,Anantapur,2018-2019,78340.0,19428.0,0.25
Andhra Pradesh,Anantapur,2019-2020,92409.0,70878.0,0.77
Andhra Pradesh,Anantapur,2020-2021,87490.0,37883.0,0.43
Andhra Pradesh,Anantapur,2021-2022,82650.0,19753.0,0.49
Andhra Pradesh,Anantapur,2022-2023,60632.0,69969.0,2.15
Andhra Pradesh,Annamayya,2022-2023,2.0,3.0,1.5
Andhra Pradesh,Bapatla,2022-2023,26090.0,62929.0,2.41
Andhra Pradesh,Chittoor,2013-2014,8.0,10.0,1.25
Andhra Pradesh,Chittoor,2014-2015,7.0,7.0,1.0
Andhra Pradesh,Chittoor,2015-2016,4.0,4.0,2.0
Andhra Pradesh,Chittoor,2016-2017,4.0,3.0,0.75
Andhra Pradesh,Chittoor,2017-2018,1.0,0.0,0.0
Andhra Pradesh,Chittoor,2018-2019,26.0,0.0,0.0
Andhra Pradesh,Chittoor,2021-2022,4.0,3.0,0.75
Andhra Pradesh,Chittoor,2022-2023,3.0,4.0,1.33
Andhra Pradesh,East godavari,2013-2014,134.0,258.0,1.93
Andhra Pradesh,East godavari,2014-2015,97.0,187.0,1.93
Andhra Pradesh,East godavari,2015-2016,220.0,408.0,1.85
Andhra Pradesh,East godavari,2016-2017,1503.0,2262.0,1.5
Andhra Pradesh,East godavari,2017-2018,1813.0,2594.0,1.43
Andhra Pradesh,East godavari,2018-2019,2383.0,2569.0,1.08
Andhra Pradesh,East godavari,2019-2020,1964.0,3364.0,1.71
Andhra Pradesh,East godavari,2020-2021,1675.0,3224.0,1.92
Andhra Pradesh,East godavari,2021-2022,1586.0,3094.0,1.95
