State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Anakapalli,2022 - 2023,1,2,2,,,,,,
,2. Anantapur,2013 - 2014,"85,768.00","68,614.00",0.8,,,,,,
,,2014 - 2015,"68,092.00","38,676.00",0.57,,,,,,
,,2015 - 2016,"75,799.00","34,185.00",0.45,,,,,,
,,2016 - 2017,"22,874.00","5,924.00",0.26,,,,,,
,,2017 - 2018,"74,397.00","50,590.00",0.68,,,,,,
,,2018 - 2019,"78,340.00","19,428.00",0.25,,,,,,
,,2019 - 2020,"92,409.00","70,878.00",0.77,,,,,,
,,2020 - 2021,"87,490.00","37,883.00",0.43,,,,,,
,,2021 - 2022,"82,642.00","19,751.00",0.24,8,2,0.25,,,
,,2022 - 2023,"60,631.00","69,968.00",1.15,1,1,1,,,
,3. Annamayya,2022 - 2023,2,3,1.5,,,,,,
,4. Bapatla,2022 - 2023,"26,090.00","62,929.00",2.41,,,,,,
,5. Chittoor,2013 - 2014,8,10,1.25,,,,,,
,,2014 - 2015,7,7,1,,,,,,
,,2015 - 2016,2,2,1,2,2,1,,,
,,2016 - 2017,4,3,0.75,,,,,,
,,2017 - 2018,,,,1,,0,,,
,,2018 - 2019,,,,26,,0,,,
,,2021 - 2022,4,3,0.75,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,
,6. East godavari,2013 - 2014,134,258,1.93,,,,,,
,,2014 - 2015,97,187,1.93,,,,,,
,,2015 - 2016,220,408,1.85,,,,,,
,,2016 - 2017,"1,503.00","2,262.00",1.5,,,,,,
,,2017 - 2018,"1,813.00","2,594.00",1.43,,,,,,
,,2018 - 2019,"2,383.00","2,569.00",1.08,,,,,,
,,2019 - 2020,"1,964.00","3,364.00",1.71,,,,,,
,,2020 - 2021,"1,675.00","3,224.00",1.92,,,,,,
,,2021 - 2022,"1,586.00","3,094.00",1.95,,,,,,
,,2022 - 2023,828,"1,456.00",1.76,,,,,,
,7. Guntur,2013 - 2014,"9,507.00","21,676.00",2.28,,,,,,
,,2014 - 2015,"5,945.00","13,691.00",2.3,,,,,,
,,2015 - 2016,"16,080.00","26,210.00",1.63,,,,,,
,,2016 - 2017,"21,997.00","43,158.00",1.96,,,,,,
,,2017 - 2018,"32,007.00","60,845.00",1.9,,,,,,
,,2018 - 2019,"24,815.00","51,466.00",2.07,,,,,,
,,2019 - 2020,"16,735.00","28,182.00",1.68,,,,,,
,,2020 - 2021,"17,458.00","33,240.00",1.9,,,,,,
,,2021 - 2022,"19,613.00","35,480.00",1.81,14,25,1.79,,,
,,2022 - 2023,"6,555.00","15,699.00",2.39,,,,,,
,8. Kadapa,2013 - 2014,"97,046.00","1,31,594.00",1.36,,,,,,
,,2014 - 2015,"68,169.00","43,083.00",0.63,,,,,,
,,2015 - 2016,"79,214.00","89,512.00",1.13,,,,,,
,,2016 - 2017,"82,032.00","33,059.00",0.4,5,2,0.4,,,
,,2017 - 2018,"97,135.00","68,966.00",0.71,,,,,,
,,2018 - 2019,"1,01,525.00","25,483.00",0.25,,,,,,
,,2019 - 2020,"90,675.00","1,15,883.00",1.28,,,,,,
,,2020 - 2021,"1,06,078.00","1,21,778.00",1.15,1,1,1,,,
,,2021 - 2022,"99,821.00","1,07,407.00",1.08,,,,,,
,,2022 - 2023,"70,350.00","87,797.00",1.25,,,,,,
,9. Kakinada,2022 - 2023,523,"1,242.00",2.37,,,,,,
,10. Krishna,2013 - 2014,"1,072.00","2,066.00",1.93,,,,,,
,,2014 - 2015,769,"1,485.00",1.93,,,,,,
,,2015 - 2016,"1,242.00","2,567.00",2.07,,,,,,
,,2016 - 2017,"1,771.00","3,227.00",1.82,,,,,,
,,2017 - 2018,"2,287.00","4,334.00",1.9,,,,,,
,,2018 - 2019,"2,851.00","6,899.00",2.42,,,,,,
,,2019 - 2020,"3,805.00","8,314.00",2.19,,,,,,
,,2020 - 2021,"4,194.00","6,916.00",1.65,,,,,,
,,2021 - 2022,"4,535.00","7,025.00",1.55,1,2,2,,,
,,2022 - 2023,10,18,1.8,,,,,,
,11. Kurnool,2013 - 2014,"2,01,345.00","2,77,856.00",1.38,,,,,,
,,2014 - 2015,"1,43,877.00","1,90,205.00",1.32,,,,,,
,,2015 - 2016,"1,99,242.00","1,59,194.00",0.8,,,,,,
,,2016 - 2017,"1,70,870.00","1,59,422.00",0.93,,,,,,
,,2017 - 2018,"1,94,754.00","2,49,090.00",1.28,,,,,,
,,2018 - 2019,"1,47,343.00","35,215.00",0.24,,,,,,
,,2019 - 2020,"1,55,952.00","1,98,527.00",1.27,,,,,,
,,2020 - 2021,"1,48,711.00","1,76,371.00",1.19,,,,,,
,,2021 - 2022,"1,49,749.00","1,37,170.00",0.92,,,,,,
,,2022 - 2023,"48,892.00","74,169.00",1.52,,,,,,
,12. Nandyal,2022 - 2023,"52,378.00","67,620.00",1.29,,,,,,
,13. Ntr,2022 - 2023,"3,692.00","7,044.00",1.91,,,,,,
,14. Palnadu,2022 - 2023,"9,310.00","16,795.00",1.8,,,,,,
,15. Parvathipuram manyam,2022 - 2023,6,11,1.83,,,,,,
,16. Prakasam,2013 - 2014,"69,465.00","1,35,109.00",1.94,,,,,,
,,2014 - 2015,"50,750.00","95,867.00",1.89,,,,,,
,,2015 - 2016,"91,972.00","1,77,690.00",1.93,,,,,,
,,2016 - 2017,"82,605.00","1,23,081.00",1.49,,,,,,
,,2017 - 2018,"1,07,733.00","1,39,407.00",1.29,,,,,,
,,2018 - 2019,"1,09,283.00","91,033.00",0.83,,,,,,
,,2019 - 2020,"86,177.00","1,20,734.00",1.4,,,,,,
,,2020 - 2021,"92,410.00","1,38,061.00",1.49,,,,,,
,,2021 - 2022,"1,02,409.00","1,60,475.00",1.57,,,,,,
,,2022 - 2023,"40,448.00","51,369.00",1.27,,,,,,
,17. Spsr nellore,2013 - 2014,"7,429.00","9,680.00",1.3,,,,,,
,,2014 - 2015,"3,699.00","7,069.00",1.91,,,,,,
,,2015 - 2016,"7,108.00","9,553.00",1.34,,,,,,
,,2016 - 2017,"13,242.00","10,620.00",0.8,,,,,,
,,2017 - 2018,"10,034.00","12,984.00",1.29,,,,,,
,,2018 - 2019,"11,040.00","10,256.00",0.93,,,,,,
,,2019 - 2020,"10,655.00","12,562.00",1.18,,,,,,
,,2020 - 2021,"10,588.00","14,749.00",1.39,,,,,,
,,2021 - 2022,"9,091.00","9,055.00",1,,,,,,
,,2022 - 2023,"7,525.00","10,400.00",1.38,,,,,,
,18. Sri sathya sai,2022 - 2023,"1,845.00","1,042.00",0.56,7,9,1.29,,,
,19. Srikakulam,2014 - 2015,1,2,2,,,,,,
,20. Visakhapatanam,2013 - 2014,81,156,1.93,,,,,,
,,2014 - 2015,87,168,1.93,,,,,,
,,2015 - 2016,102,189,1.85,,,,,,
,,2016 - 2017,50,75,1.5,,,,,,
,,2017 - 2018,75,107,1.43,,,,,,
,,2018 - 2019,178,192,1.08,5,5,1,,,
,,2019 - 2020,82,119,1.45,,,,,,
,21. Vizianagaram,2013 - 2014,525,"1,012.00",1.93,,,,,,
,,2014 - 2015,229,442,1.93,,,,,,
,,2015 - 2016,123,228,1.85,,,,,,
,,2016 - 2017,130,196,1.51,,,,,,
,,2017 - 2018,112,160,1.43,,,,,,
,,2018 - 2019,57,61,1.07,,,,,,
,,2019 - 2020,121,176,1.45,,,,,,
,,2020 - 2021,84,130,1.55,,,,,,
,,2021 - 2022,31,49,1.58,,,,,,
,,2022 - 2023,8,14,1.75,2,4,2,,,
,22. West godavari,2014 - 2015,44,85,1.93,,,,,,
,,2015 - 2016,25,46,1.84,,,,,,
,,2016 - 2017,5,8,1.6,,,,,,
,,2017 - 2018,33,47,1.42,,,,,,
,,2018 - 2019,36,39,1.08,,,,,,
,,2019 - 2020,4,6,1.5,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,
,,2021 - 2022,,,,2,3,1.5,,,
2. Assam,1. Baksa,2013 - 2014,80,40,0.5,,,,,,
,,2014 - 2015,78,49,0.63,,,,,,
,,2015 - 2016,65,52,0.8,,,,,,
,,2016 - 2017,302,188,0.62,,,,,,
,,2017 - 2018,282,230,0.82,,,,,,
,,2018 - 2019,282,223,0.79,,,,,,
,,2019 - 2020,282,251,0.89,,,,,,
,,2020 - 2021,257,228,0.89,,,,,,
,,2021 - 2022,232,206,0.89,,,,,,
