State,District,Year,pulses_area,pulses_production,pulses_yield
Arunachal Pradesh,Anjaw,2016-2017,104.0,118.0,1.85
Arunachal Pradesh,Anjaw,2017-2018,88.0,121.0,2.29
Arunachal Pradesh,Anjaw,2018-2019,88.0,121.0,2.29
Arunachal Pradesh,Anjaw,2019-2020,89.0,122.0,2.28
Arunachal Pradesh,Anjaw,2020-2021,89.0,124.0,2.31
Arunachal Pradesh,Anjaw,2021-2022,89.0,125.0,2.32
Arunachal Pradesh,Anjaw,2022-2023,89.0,125.0,2.32
Arunachal Pradesh,Changlang,2016-2017,231.0,292.0,2.2
Arunachal Pradesh,Changlang,2017-2018,239.0,299.0,2.2
Arunachal Pradesh,Changlang,2018-2019,239.0,699.0,4.12
Arunachal Pradesh,Changlang,2019-2020,240.0,306.0,2.23
Arunachal Pradesh,Changlang,2020-2021,240.0,308.0,2.24
Arunachal Pradesh,Changlang,2021-2022,243.0,312.0,2.25
Arunachal Pradesh,Changlang,2022-2023,243.0,312.0,2.25
Arunachal Pradesh,Dibang valley,2016-2017,201.0,164.0,1.79
Arunachal Pradesh,Dibang valley,2017-2018,190.0,161.0,1.97
Arunachal Pradesh,Dibang valley,2018-2019,190.0,161.0,1.97
Arunachal Pradesh,Dibang valley,2019-2020,190.0,161.0,2.02
Arunachal Pradesh,Dibang valley,2020-2021,190.0,161.0,2.02
Arunachal Pradesh,Dibang valley,2021-2022,191.0,162.0,2.02
Arunachal Pradesh,Dibang valley,2022-2023,191.0,162.0,2.02
Arunachal Pradesh,East kameng,2016-2017,327.0,375.0,2.23
Arunachal Pradesh,East kameng,2017-2018,351.0,405.0,2.27
Arunachal Pradesh,East kameng,2018-2019,351.0,405.0,2.27
Arunachal Pradesh,East kameng,2019-2020,247.0,289.0,2.25
Arunachal Pradesh,East kameng,2020-2021,247.0,291.0,2.26
Arunachal Pradesh,East kameng,2021-2022,249.0,293.0,2.25
Arunachal Pradesh,East kameng,2022-2023,254.0,329.0,2.41
Arunachal Pradesh,East siang,2016-2017,436.0,508.0,2.27
Arunachal Pradesh,East siang,2017-2018,447.0,511.0,2.18
Arunachal Pradesh,East siang,2018-2019,246.0,314.0,2.27
Arunachal Pradesh,East siang,2019-2020,246.0,314.0,2.27
Arunachal Pradesh,East siang,2020-2021,246.0,321.0,2.4000000000000004
Arunachal Pradesh,East siang,2021-2022,249.0,326.0,2.41
Arunachal Pradesh,East siang,2022-2023,254.0,337.0,2.45
Arunachal Pradesh,Kamle,2018-2019,78.0,80.0,2.2
Arunachal Pradesh,Kamle,2019-2020,78.0,80.0,2.2
Arunachal Pradesh,Kamle,2020-2021,78.0,80.0,2.2
Arunachal Pradesh,Kamle,2021-2022,79.0,81.0,2.2
Arunachal Pradesh,Kamle,2022-2023,80.0,85.0,2.25
Arunachal Pradesh,Kra daadi,2016-2017,65.0,73.0,2.12
Arunachal Pradesh,Kra daadi,2017-2018,48.0,52.0,2.0
Arunachal Pradesh,Kra daadi,2018-2019,48.0,52.0,2.0
Arunachal Pradesh,Kra daadi,2019-2020,49.0,55.0,2.09
Arunachal Pradesh,Kra daadi,2020-2021,49.0,55.0,2.09
Arunachal Pradesh,Kra daadi,2021-2022,49.0,55.0,2.09
Arunachal Pradesh,Kra daadi,2022-2023,49.0,129.0,4.78
Arunachal Pradesh,Kurung kumey,2016-2017,63.0,77.0,2.38
Arunachal Pradesh,Kurung kumey,2017-2018,43.0,61.0,2.71
Arunachal Pradesh,Kurung kumey,2018-2019,43.0,61.0,2.71
Arunachal Pradesh,Kurung kumey,2019-2020,44.0,62.0,2.71
Arunachal Pradesh,Kurung kumey,2020-2021,44.0,62.0,2.71
Arunachal Pradesh,Kurung kumey,2021-2022,45.0,63.0,2.6900000000000004
Arunachal Pradesh,Kurung kumey,2022-2023,45.0,63.0,2.6900000000000004
Arunachal Pradesh,Leparada,2019-2020,56.0,124.0,3.73
Arunachal Pradesh,Leparada,2020-2021,56.0,106.0,3.36
Arunachal Pradesh,Leparada,2021-2022,60.0,112.0,3.27
Arunachal Pradesh,Leparada,2022-2023,60.0,112.0,3.27
Arunachal Pradesh,Lohit,2016-2017,318.0,425.0,2.6100000000000003
Arunachal Pradesh,Lohit,2017-2018,285.0,426.0,3.22
Arunachal Pradesh,Lohit,2018-2019,285.0,426.0,3.22
Arunachal Pradesh,Lohit,2019-2020,286.0,426.0,3.21
Arunachal Pradesh,Lohit,2020-2021,286.0,429.0,3.26
Arunachal Pradesh,Lohit,2021-2022,289.0,435.0,3.24
Arunachal Pradesh,Lohit,2022-2023,294.0,425.0,2.58
Arunachal Pradesh,Longding,2016-2017,125.0,118.0,1.65
Arunachal Pradesh,Longding,2017-2018,112.0,115.0,1.79
Arunachal Pradesh,Longding,2018-2019,112.0,115.0,1.79
Arunachal Pradesh,Longding,2019-2020,113.0,122.0,1.86
Arunachal Pradesh,Longding,2020-2021,113.0,124.0,1.88
Arunachal Pradesh,Longding,2021-2022,113.0,125.0,1.89
Arunachal Pradesh,Longding,2022-2023,113.0,125.0,1.89
Arunachal Pradesh,Lower dibang valley,2016-2017,364.0,450.0,2.12
Arunachal Pradesh,Lower dibang valley,2017-2018,379.0,470.0,2.19
Arunachal Pradesh,Lower dibang valley,2018-2019,379.0,470.0,2.19
Arunachal Pradesh,Lower dibang valley,2019-2020,380.0,470.0,2.19
Arunachal Pradesh,Lower dibang valley,2020-2021,380.0,463.0,2.0
Arunachal Pradesh,Lower dibang valley,2021-2022,382.0,465.0,2.0
Arunachal Pradesh,Lower dibang valley,2022-2023,387.0,491.0,2.35
Arunachal Pradesh,Lower siang,2018-2019,347.0,432.0,2.39
Arunachal Pradesh,Lower siang,2019-2020,312.0,395.0,2.43
Arunachal Pradesh,Lower siang,2020-2021,312.0,399.0,2.5
Arunachal Pradesh,Lower siang,2021-2022,314.0,401.0,2.49
Arunachal Pradesh,Lower siang,2022-2023,314.0,406.0,2.51
Arunachal Pradesh,Lower subansiri,2016-2017,195.0,431.0,3.5700000000000003
Arunachal Pradesh,Lower subansiri,2017-2018,216.0,427.0,3.15
Arunachal Pradesh,Lower subansiri,2018-2019,152.0,408.0,4.26
Arunachal Pradesh,Lower subansiri,2019-2020,153.0,409.0,4.26
Arunachal Pradesh,Lower subansiri,2020-2021,153.0,411.0,4.279999999999999
Arunachal Pradesh,Lower subansiri,2021-2022,155.0,413.0,4.25
Arunachal Pradesh,Lower subansiri,2022-2023,155.0,293.0,3.25
Arunachal Pradesh,Namsai,2016-2017,574.0,692.0,2.36
Arunachal Pradesh,Namsai,2017-2018,619.0,698.0,2.06
Arunachal Pradesh,Namsai,2018-2019,619.0,698.0,2.06
Arunachal Pradesh,Namsai,2019-2020,620.0,705.0,2.07
Arunachal Pradesh,Namsai,2020-2021,620.0,709.0,2.1
Arunachal Pradesh,Namsai,2021-2022,624.0,716.0,2.12
Arunachal Pradesh,Namsai,2022-2023,639.0,737.0,2.2
Arunachal Pradesh,Pakke kessang,2019-2020,105.0,123.0,2.32
Arunachal Pradesh,Pakke kessang,2020-2021,105.0,125.0,2.35
Arunachal Pradesh,Pakke kessang,2021-2022,107.0,127.0,2.33
Arunachal Pradesh,Pakke kessang,2022-2023,107.0,157.0,2.66
Arunachal Pradesh,Papum pare,2016-2017,162.0,370.0,3.56
Arunachal Pradesh,Papum pare,2017-2018,183.0,364.0,3.0700000000000003
Arunachal Pradesh,Papum pare,2018-2019,183.0,364.0,3.0700000000000003
Arunachal Pradesh,Papum pare,2019-2020,185.0,365.0,3.07
Arunachal Pradesh,Papum pare,2020-2021,185.0,367.0,3.09
Arunachal Pradesh,Papum pare,2021-2022,188.0,371.0,3.1
Arunachal Pradesh,Papum pare,2022-2023,193.0,381.0,3.2299999999999995
Arunachal Pradesh,Shi yomi,2019-2020,19.0,72.0,3.79
Arunachal Pradesh,Shi yomi,2020-2021,19.0,32.0,1.68
Arunachal Pradesh,Shi yomi,2021-2022,19.0,33.0,1.74
Arunachal Pradesh,Shi yomi,2022-2023,9.0,13.0,1.44
Arunachal Pradesh,Siang,2016-2017,233.0,244.0,2.05
Arunachal Pradesh,Siang,2017-2018,218.0,242.0,2.29
Arunachal Pradesh,Siang,2018-2019,218.0,242.0,2.29
Arunachal Pradesh,Siang,2019-2020,218.0,249.0,2.33
Arunachal Pradesh,Siang,2020-2021,220.0,413.0,3.26
Arunachal Pradesh,Siang,2021-2022,224.0,420.0,3.27
Arunachal Pradesh,Siang,2022-2023,229.0,413.0,3.09
Arunachal Pradesh,Tirap,2016-2017,98.0,116.0,1.9
Arunachal Pradesh,Tirap,2017-2018,82.0,120.0,2.41
Arunachal Pradesh,Tirap,2018-2019,82.0,120.0,2.41
Arunachal Pradesh,Tirap,2019-2020,83.0,127.0,2.49
Arunachal Pradesh,Tirap,2020-2021,83.0,129.0,2.53
Arunachal Pradesh,Tirap,2021-2022,85.0,131.0,2.53
Arunachal Pradesh,Tirap,2022-2023,85.0,121.0,2.37
Arunachal Pradesh,Upper siang,2016-2017,125.0,190.0,2.45
Arunachal Pradesh,Upper siang,2017-2018,117.0,189.0,2.65
Arunachal Pradesh,Upper siang,2018-2019,117.0,189.0,2.65
Arunachal Pradesh,Upper siang,2019-2020,117.0,189.0,2.65
Arunachal Pradesh,Upper siang,2020-2021,117.0,191.0,2.67
Arunachal Pradesh,Upper siang,2021-2022,119.0,193.0,2.67
Arunachal Pradesh,Upper siang,2022-2023,119.0,193.0,2.67
Arunachal Pradesh,Upper subansiri,2016-2017,228.0,344.0,2.7
Arunachal Pradesh,Upper subansiri,2017-2018,226.0,366.0,2.98
Arunachal Pradesh,Upper subansiri,2018-2019,200.0,276.0,2.8200000000000003
Arunachal Pradesh,Upper subansiri,2019-2020,201.0,277.0,2.8600000000000003
Arunachal Pradesh,Upper subansiri,2020-2021,201.0,279.0,2.87
Arunachal Pradesh,Upper subansiri,2021-2022,203.0,281.0,2.85
Arunachal Pradesh,Upper subansiri,2022-2023,203.0,277.0,2.67
Arunachal Pradesh,West kameng,2016-2017,265.0,472.0,3.1
Arunachal Pradesh,West kameng,2017-2018,302.0,507.0,2.9
Arunachal Pradesh,West kameng,2018-2019,302.0,507.0,2.9
Arunachal Pradesh,West kameng,2019-2020,304.0,508.0,2.89
Arunachal Pradesh,West kameng,2020-2021,304.0,511.0,2.91
Arunachal Pradesh,West kameng,2021-2022,307.0,516.0,2.91
Arunachal Pradesh,West kameng,2022-2023,312.0,548.0,3.05
Arunachal Pradesh,West siang,2016-2017,177.0,348.0,3.23
Arunachal Pradesh,West siang,2017-2018,187.0,345.0,2.99
Arunachal Pradesh,West siang,2018-2019,83.0,315.0,6.03
Arunachal Pradesh,West siang,2019-2020,43.0,170.0,6.67
Arunachal Pradesh,West siang,2020-2021,43.0,75.0,3.4000000000000004
Arunachal Pradesh,West siang,2021-2022,47.0,81.0,3.34
Arunachal Pradesh,West siang,2022-2023,47.0,81.0,3.34
Assam,Baksa,2013-2014,1290.0,1251.0,0.97
Assam,Baksa,2014-2015,1519.0,1700.0,1.12
Assam,Baksa,2015-2016,1385.0,1310.0,0.95
Assam,Baksa,2016-2017,1270.0,1447.0,1.14
Assam,Baksa,2017-2018,1405.0,1325.0,0.94
Assam,Baksa,2018-2019,1380.0,1449.0,1.05
Assam,Baksa,2019-2020,1430.0,1539.0,1.08
Assam,Baksa,2020-2021,1436.0,1529.0,1.06
Assam,Baksa,2021-2022,1300.0,1388.0,1.07
Assam,Baksa,2022-2023,1200.0,1296.0,1.08
Assam,Barpeta,2013-2014,1435.0,1222.0,0.85
Assam,Barpeta,2014-2015,1427.0,1647.0,1.15
Assam,Barpeta,2015-2016,1355.0,1554.0,1.15
Assam,Barpeta,2016-2017,1344.0,1412.0,1.05
Assam,Barpeta,2017-2018,1804.0,1131.0,0.63
Assam,Barpeta,2018-2019,1250.0,792.0,0.63
Assam,Barpeta,2019-2020,1233.0,1079.0,0.88
Assam,Barpeta,2020-2021,1206.0,768.0,0.64
Assam,Barpeta,2021-2022,1087.0,729.0,0.67
Assam,Barpeta,2022-2023,1065.0,727.0,0.68
Assam,Biswanath,2020-2021,961.0,1175.0,1.22
Assam,Biswanath,2021-2022,1122.0,1378.0,1.23
Assam,Biswanath,2022-2023,1370.0,1690.0,1.23
Assam,Bongaigaon,2013-2014,409.0,350.0,0.86
Assam,Bongaigaon,2014-2015,420.0,450.0,1.07
Assam,Bongaigaon,2015-2016,470.0,389.0,0.83
Assam,Bongaigaon,2016-2017,498.0,525.0,1.05
Assam,Bongaigaon,2017-2018,455.0,569.0,1.25
Assam,Bongaigaon,2018-2019,472.0,344.0,0.73
Assam,Bongaigaon,2019-2020,325.0,438.0,1.35
Assam,Bongaigaon,2020-2021,329.0,227.0,0.69
Assam,Bongaigaon,2021-2022,677.0,467.0,0.69
Assam,Bongaigaon,2022-2023,696.0,525.0,0.75
Assam,Cachar,2013-2014,498.0,332.0,0.67
Assam,Cachar,2014-2015,422.0,353.0,0.84
Assam,Cachar,2015-2016,406.0,305.0,0.75
Assam,Cachar,2016-2017,422.0,317.0,0.75
Assam,Cachar,2017-2018,444.0,336.0,0.76
Assam,Cachar,2018-2019,445.0,349.0,0.78
Assam,Cachar,2019-2020,408.0,476.0,1.17
Assam,Cachar,2020-2021,398.0,92.0,0.23
Assam,Cachar,2021-2022,401.0,146.0,0.36
Assam,Cachar,2022-2023,829.0,291.0,0.35
Assam,Charaideo,2020-2021,74.0,48.0,0.65
Assam,Charaideo,2021-2022,85.0,55.0,0.65
Assam,Charaideo,2022-2023,108.0,70.0,0.65
Assam,Chirang,2013-2014,397.0,272.0,0.69
Assam,Chirang,2014-2015,419.0,458.0,1.09
Assam,Chirang,2015-2016,205.0,189.0,0.92
Assam,Chirang,2016-2017,312.0,316.0,1.01
Assam,Chirang,2017-2018,460.0,292.0,0.63
Assam,Chirang,2018-2019,326.0,207.0,0.63
Assam,Chirang,2019-2020,339.0,392.0,1.16
Assam,Chirang,2020-2021,330.0,227.0,0.69
Assam,Chirang,2021-2022,325.0,302.0,0.93
Assam,Chirang,2022-2023,350.0,420.0,1.2
Assam,Darrang,2013-2014,2179.0,5556.0,2.55
Assam,Darrang,2014-2015,2153.0,2263.0,1.05
Assam,Darrang,2015-2016,2058.0,2459.0,1.19
Assam,Darrang,2016-2017,2205.0,2635.0,1.2
Assam,Darrang,2017-2018,2139.0,2622.0,1.23
Assam,Darrang,2018-2019,1940.0,2386.0,1.23
Assam,Darrang,2019-2020,1933.0,1486.0,0.77
Assam,Darrang,2020-2021,1951.0,2400.0,1.23
Assam,Darrang,2021-2022,1936.0,2284.0,1.18
Assam,Darrang,2022-2023,1945.0,2529.0,1.3
Assam,Dhemaji,2013-2014,2223.0,1535.0,0.69
Assam,Dhemaji,2014-2015,1914.0,1832.0,0.96
Assam,Dhemaji,2015-2016,599.0,517.0,0.86
Assam,Dhemaji,2016-2017,630.0,542.0,0.86
Assam,Dhemaji,2017-2018,659.0,564.0,0.86
Assam,Dhemaji,2018-2019,681.0,953.0,1.4
Assam,Dhemaji,2019-2020,618.0,526.0,0.85
Assam,Dhemaji,2020-2021,600.0,635.0,1.06
Assam,Dhemaji,2021-2022,600.0,622.0,1.04
Assam,Dhemaji,2022-2023,554.0,394.0,0.71
Assam,Dhubri,2013-2014,338.0,287.0,0.85
Assam,Dhubri,2014-2015,369.0,411.0,1.11
Assam,Dhubri,2015-2016,626.0,693.0,1.11
Assam,Dhubri,2016-2017,668.0,612.0,0.92
Assam,Dhubri,2017-2018,554.0,505.0,0.91
Assam,Dhubri,2018-2019,624.0,576.0,0.92
Assam,Dhubri,2019-2020,666.0,616.0,0.92
Assam,Dhubri,2020-2021,590.0,550.0,0.93
Assam,Dhubri,2021-2022,590.0,550.0,0.93
Assam,Dhubri,2022-2023,1170.0,1095.0,0.94
Assam,Dibrugarh,2013-2014,1100.0,627.0,0.57
Assam,Dibrugarh,2014-2015,1044.0,509.0,0.49
Assam,Dibrugarh,2015-2016,1101.0,672.0,0.61
Assam,Dibrugarh,2016-2017,1128.0,688.0,0.61
Assam,Dibrugarh,2017-2018,1091.0,666.0,0.61
Assam,Dibrugarh,2018-2019,1060.0,806.0,0.76
Assam,Dibrugarh,2019-2020,1000.0,799.0,0.8
Assam,Dibrugarh,2020-2021,998.0,783.0,0.78
Assam,Dibrugarh,2021-2022,856.0,347.0,0.41
Assam,Dibrugarh,2022-2023,878.0,536.0,0.61
Assam,Dima hasao,2013-2014,597.0,333.0,0.56
Assam,Dima hasao,2014-2015,462.0,321.0,0.69
Assam,Dima hasao,2015-2016,488.0,238.0,0.49
Assam,Dima hasao,2016-2017,516.0,252.0,0.49
Assam,Dima hasao,2017-2018,492.0,223.0,0.45
Assam,Dima hasao,2018-2019,499.0,244.0,0.49
Assam,Dima hasao,2019-2020,578.0,460.0,0.8
Assam,Dima hasao,2020-2021,578.0,282.0,0.49
Assam,Dima hasao,2021-2022,570.0,278.0,0.49
Assam,Dima hasao,2022-2023,570.0,278.0,0.49
Assam,Goalpara,2013-2014,520.0,520.0,1.0
Assam,Goalpara,2014-2015,650.0,483.0,0.74
Assam,Goalpara,2015-2016,1012.0,767.0,0.76
Assam,Goalpara,2016-2017,1568.0,1129.0,0.72
Assam,Goalpara,2017-2018,1511.0,1058.0,0.7
Assam,Goalpara,2018-2019,1625.0,1138.0,0.7
Assam,Goalpara,2019-2020,1501.0,1492.0,0.99
Assam,Goalpara,2020-2021,1489.0,1050.0,0.71
Assam,Goalpara,2021-2022,1505.0,1106.0,0.73
Assam,Goalpara,2022-2023,1537.0,1207.0,0.79
Assam,Golaghat,2013-2014,1101.0,1044.0,0.95
Assam,Golaghat,2014-2015,983.0,1259.0,1.28
Assam,Golaghat,2015-2016,973.0,907.0,0.93
Assam,Golaghat,2016-2017,885.0,837.0,0.95
Assam,Golaghat,2017-2018,880.0,858.0,0.98
Assam,Golaghat,2018-2019,876.0,853.0,0.97
Assam,Golaghat,2019-2020,814.0,969.0,1.19
Assam,Golaghat,2020-2021,816.0,740.0,0.91
Assam,Golaghat,2021-2022,913.0,827.0,0.91
Assam,Golaghat,2022-2023,911.0,830.0,0.91
Assam,Hailakandi,2013-2014,35.0,38.0,1.09
Assam,Hailakandi,2014-2015,41.0,33.0,0.8
Assam,Hailakandi,2015-2016,50.0,31.0,0.62
Assam,Hailakandi,2016-2017,42.0,26.0,0.62
Assam,Hailakandi,2017-2018,32.0,29.0,0.91
Assam,Hailakandi,2018-2019,52.0,47.0,0.9
Assam,Hailakandi,2019-2020,42.0,56.0,1.33
Assam,Hailakandi,2020-2021,59.0,53.0,0.9
Assam,Hailakandi,2021-2022,54.0,52.0,0.96
Assam,Hailakandi,2022-2023,49.0,61.0,1.24
Assam,Hojai,2020-2021,325.0,269.0,0.83
Assam,Hojai,2021-2022,325.0,269.0,0.83
Assam,Hojai,2022-2023,325.0,271.0,0.83
Assam,Jorhat,2013-2014,1993.0,1339.0,0.67
