State,District,Year,rice_area,rice_production,rice_yield
Andaman and Nicobar Islands,Nicobars,2013-2014,2.65,6.3,2.38
Andaman and Nicobar Islands,Nicobars,2014-2015,4.6,10.8,2.35
Andaman and Nicobar Islands,Nicobars,2015-2016,5.0,11.2,2.24
Andaman and Nicobar Islands,Nicobars,2016-2017,6.67,9.54,1.43
Andaman and Nicobar Islands,Nicobars,2017-2018,1.0,0.53,0.53
Andaman and Nicobar Islands,Nicobars,2018-2019,4.1,6.01,1.47
Andaman and Nicobar Islands,Nicobars,2019-2020,3.1,4.3,1.39
Andaman and Nicobar Islands,Nicobars,2022-2023,1.0,1.26,1.26
Andaman and Nicobar Islands,North and middle andaman,2013-2014,7685.25,15447.2,2.01
Andaman and Nicobar Islands,North and middle andaman,2014-2015,6162.5,12644.2,2.05
Andaman and Nicobar Islands,North and middle andaman,2015-2016,5878.9,13228.0,2.25
Andaman and Nicobar Islands,North and middle andaman,2016-2017,4684.7,12082.0,2.58
Andaman and Nicobar Islands,North and middle andaman,2017-2018,5099.8,10729.33,2.1
Andaman and Nicobar Islands,North and middle andaman,2018-2019,5222.85,11055.78,2.12
Andaman and Nicobar Islands,North and middle andaman,2019-2020,5630.47,17771.58,3.16
Andaman and Nicobar Islands,North and middle andaman,2022-2023,4915.15,10369.04,2.11
Andaman and Nicobar Islands,South andamans,2013-2014,317.3,792.0,2.5
Andaman and Nicobar Islands,South andamans,2014-2015,267.5,464.3,1.74
Andaman and Nicobar Islands,South andamans,2015-2016,216.1,438.8,2.03
Andaman and Nicobar Islands,South andamans,2016-2017,185.1,502.18,2.71
Andaman and Nicobar Islands,South andamans,2017-2018,239.75,500.28,2.09
Andaman and Nicobar Islands,South andamans,2018-2019,164.16,378.57,2.31
Andaman and Nicobar Islands,South andamans,2019-2020,67.55,205.37,3.04
Andaman and Nicobar Islands,South andamans,2022-2023,73.5,153.06,2.08
Andhra Pradesh,Alluri sitharama raju,2022-2023,58705.0,175374.0,5.99
Andhra Pradesh,Anakapalli,2022-2023,59406.0,186481.0,6.1
Andhra Pradesh,Anantapur,2013-2014,40397.0,87935.0,4.44
Andhra Pradesh,Anantapur,2014-2015,29211.0,82532.0,5.199999999999999
Andhra Pradesh,Anantapur,2015-2016,33623.0,97651.0,5.75
Andhra Pradesh,Anantapur,2016-2017,22887.0,57431.0,5.16
Andhra Pradesh,Anantapur,2017-2018,30914.0,86359.0,5.49
Andhra Pradesh,Anantapur,2018-2019,31004.0,81302.0,5.17
Andhra Pradesh,Anantapur,2019-2020,32540.0,110648.0,6.74
Andhra Pradesh,Anantapur,2020-2021,35735.0,103925.0,5.86
Andhra Pradesh,Anantapur,2021-2022,32366.0,72080.0,4.68
Andhra Pradesh,Anantapur,2022-2023,26995.0,103988.0,8.12
Andhra Pradesh,Annamayya,2022-2023,15906.0,52418.0,6.640000000000001
Andhra Pradesh,Bapatla,2022-2023,115379.0,480939.0,8.46
Andhra Pradesh,Chittoor,2013-2014,49860.0,169015.0,6.68
Andhra Pradesh,Chittoor,2014-2015,40965.0,132424.0,6.52
Andhra Pradesh,Chittoor,2015-2016,88153.0,334549.0,7.279999999999999
Andhra Pradesh,Chittoor,2016-2017,46700.0,170201.0,7.28
Andhra Pradesh,Chittoor,2017-2018,64812.0,246155.0,7.439999999999999
Andhra Pradesh,Chittoor,2018-2019,43941.0,159767.0,7.29
Andhra Pradesh,Chittoor,2019-2020,54519.0,200391.0,7.62
Andhra Pradesh,Chittoor,2020-2021,90147.0,322911.0,7.19
Andhra Pradesh,Chittoor,2021-2022,86842.0,306533.0,7.05
Andhra Pradesh,Chittoor,2022-2023,19888.0,62697.0,6.4
Andhra Pradesh,East godavari,2013-2014,404682.0,1211706.0,6.44
Andhra Pradesh,East godavari,2014-2015,394117.0,1563229.0,8.26
Andhra Pradesh,East godavari,2015-2016,381740.0,1445573.0,7.93
Andhra Pradesh,East godavari,2016-2017,383959.0,1627030.0,8.790000000000001
Andhra Pradesh,East godavari,2017-2018,386539.0,1672790.0,9.02
Andhra Pradesh,East godavari,2018-2019,385598.0,1723728.0,9.21
Andhra Pradesh,East godavari,2019-2020,387586.0,1632480.0,8.7
Andhra Pradesh,East godavari,2020-2021,398611.0,1424839.0,7.46
Andhra Pradesh,East godavari,2021-2022,430625.0,1447672.0,6.869999999999999
Andhra Pradesh,East godavari,2022-2023,132082.0,580924.0,9.07
Andhra Pradesh,Eluru,2022-2023,121263.0,543616.0,9.77
Andhra Pradesh,Guntur,2013-2014,328167.0,1096004.0,7.07
Andhra Pradesh,Guntur,2014-2015,285302.0,1111932.0,7.67
Andhra Pradesh,Guntur,2015-2016,163218.0,474871.0,6.37
Andhra Pradesh,Guntur,2016-2017,175940.0,735531.0,8.31
Andhra Pradesh,Guntur,2017-2018,202491.0,852842.0,8.79
Andhra Pradesh,Guntur,2018-2019,246838.0,979193.0,7.95
Andhra Pradesh,Guntur,2019-2020,246702.0,983049.0,7.970000000000001
Andhra Pradesh,Guntur,2020-2021,255285.0,831187.0,7.05
Andhra Pradesh,Guntur,2021-2022,254172.0,766598.0,6.51
Andhra Pradesh,Guntur,2022-2023,62355.0,261552.0,8.18
Andhra Pradesh,Kadapa,2013-2014,62712.0,178289.0,5.57
Andhra Pradesh,Kadapa,2014-2015,45885.0,165837.0,6.4
Andhra Pradesh,Kadapa,2015-2016,40263.0,123127.0,6.0600000000000005
Andhra Pradesh,Kadapa,2016-2017,50329.0,165640.0,6.49
Andhra Pradesh,Kadapa,2017-2018,54979.0,139764.0,5.15
Andhra Pradesh,Kadapa,2018-2019,45840.0,147711.0,6.33
Andhra Pradesh,Kadapa,2019-2020,41809.0,129564.0,6.3100000000000005
Andhra Pradesh,Kadapa,2020-2021,60187.0,147866.0,5.23
Andhra Pradesh,Kadapa,2021-2022,70502.0,141251.0,4.609999999999999
Andhra Pradesh,Kadapa,2022-2023,38047.0,126196.0,6.8
Andhra Pradesh,Kakinada,2022-2023,155124.0,609901.0,8.14
Andhra Pradesh,Konaseema,2022-2023,126790.0,584636.0,8.91
Andhra Pradesh,Krishna,2013-2014,363322.0,1175521.0,6.99
Andhra Pradesh,Krishna,2014-2015,288042.0,998795.0,7.32
Andhra Pradesh,Krishna,2015-2016,220679.0,762638.0,8.98
Andhra Pradesh,Krishna,2016-2017,231409.0,897716.0,8.0
Andhra Pradesh,Krishna,2017-2018,258728.0,1031955.0,8.39
Andhra Pradesh,Krishna,2018-2019,274014.0,1147048.0,8.58
Andhra Pradesh,Krishna,2019-2020,315036.0,1261309.0,8.32
Andhra Pradesh,Krishna,2020-2021,338617.0,1198556.0,7.640000000000001
Andhra Pradesh,Krishna,2021-2022,268513.0,928371.0,7.35
Andhra Pradesh,Krishna,2022-2023,167427.0,665011.0,8.03
Andhra Pradesh,Kurnool,2013-2014,124894.0,458400.0,7.33
Andhra Pradesh,Kurnool,2014-2015,114898.0,444262.0,7.5
Andhra Pradesh,Kurnool,2015-2016,55592.0,171582.0,5.91
Andhra Pradesh,Kurnool,2016-2017,108715.0,434885.0,7.89
Andhra Pradesh,Kurnool,2017-2018,102090.0,362463.0,7.130000000000001
Andhra Pradesh,Kurnool,2018-2019,109897.0,420986.0,7.449999999999999
Andhra Pradesh,Kurnool,2019-2020,121473.0,481209.0,7.9
Andhra Pradesh,Kurnool,2020-2021,122938.0,400245.0,6.87
Andhra Pradesh,Kurnool,2021-2022,117156.0,382980.0,6.8100000000000005
Andhra Pradesh,Kurnool,2022-2023,16333.0,54918.0,6.71
Andhra Pradesh,Nandyal,2022-2023,98196.0,393843.0,8.14
Andhra Pradesh,Ntr,2022-2023,63982.0,248986.0,7.74
Andhra Pradesh,Palnadu,2022-2023,58473.0,217012.0,7.390000000000001
Andhra Pradesh,Parvathipuram manyam,2022-2023,72813.0,241927.0,6.529999999999999
Andhra Pradesh,Prakasam,2013-2014,138578.0,532265.0,7.640000000000001
Andhra Pradesh,Prakasam,2014-2015,105297.0,405915.0,7.689999999999999
Andhra Pradesh,Prakasam,2015-2016,44385.0,178687.0,8.21
Andhra Pradesh,Prakasam,2016-2017,40072.0,143898.0,7.17
Andhra Pradesh,Prakasam,2017-2018,47353.0,181578.0,7.640000000000001
Andhra Pradesh,Prakasam,2018-2019,65268.0,228602.0,7.05
Andhra Pradesh,Prakasam,2019-2020,80375.0,303151.0,7.53
Andhra Pradesh,Prakasam,2020-2021,88359.0,301875.0,6.82
Andhra Pradesh,Prakasam,2021-2022,89512.0,286626.0,6.35
Andhra Pradesh,Prakasam,2022-2023,26523.0,91994.0,6.92
