State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. Nicobars,2013 - 2014,2.65,6.3,2.38,,,,,,,,,,,,
,,2014 - 2015,4.6,10.8,2.35,,,,,,,,,,,,
,,2015 - 2016,5,11.2,2.24,,,,,,,,,,,,
,,2016 - 2017,6.67,9.54,1.43,,,,,,,,,,,,
,,2017 - 2018,1,0.53,0.53,,,,,,,,,,,,
,,2018 - 2019,4.1,6.01,1.47,,,,,,,,,,,,
,,2019 - 2020,3.1,4.3,1.39,,,,,,,,,,,,
,,2022 - 2023,1,1.26,1.26,,,,,,,,,,,,
,2. North and middle andaman,2013 - 2014,"7,685.25","15,447.20",2.01,,,,,,,,,,,,
,,2014 - 2015,"6,162.50","12,644.20",2.05,,,,,,,,,,,,
,,2015 - 2016,"5,878.90","13,228.00",2.25,,,,,,,,,,,,
,,2016 - 2017,"4,684.70","12,082.00",2.58,,,,,,,,,,,,
,,2017 - 2018,"5,099.80","10,729.33",2.1,,,,,,,,,,,,
,,2018 - 2019,"5,222.85","11,055.78",2.12,,,,,,,,,,,,
,,2019 - 2020,"5,630.47","17,771.58",3.16,,,,,,,,,,,,
,,2022 - 2023,"4,915.15","10,369.04",2.11,,,,,,,,,,,,
,3. South andamans,2013 - 2014,317.3,792,2.5,,,,,,,,,,,,
,,2014 - 2015,267.5,464.3,1.74,,,,,,,,,,,,
,,2015 - 2016,216.1,438.8,2.03,,,,,,,,,,,,
,,2016 - 2017,185.1,502.18,2.71,,,,,,,,,,,,
,,2017 - 2018,239.75,500.28,2.09,,,,,,,,,,,,
,,2018 - 2019,164.16,378.57,2.31,,,,,,,,,,,,
,,2019 - 2020,67.55,205.37,3.04,,,,,,,,,,,,
,,2022 - 2023,73.5,153.06,2.08,,,,,,,,,,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,,,,"56,605.00","1,69,077.00",2.99,"2,100.00","6,297.00",3,,,,,,
,2. Anakapalli,2022 - 2023,,,,"58,204.00","1,82,929.00",3.14,"1,202.00","3,552.00",2.96,,,,,,
,3. Anantapur,2013 - 2014,,,,"28,114.00","59,377.00",2.11,"12,283.00","28,558.00",2.33,,,,,,
,,2014 - 2015,,,,"22,658.00","68,155.00",3.01,"6,553.00","14,377.00",2.19,,,,,,
,,2015 - 2016,,,,"20,033.00","61,012.00",3.05,"13,590.00","36,639.00",2.7,,,,,,
,,2016 - 2017,,,,"17,983.00","44,138.00",2.45,"4,904.00","13,293.00",2.71,,,,,,
