State,District,Year,sugarcane_area,sugarcane_production,sugarcane_yield
Andaman and Nicobar Islands,Nicobars,2013-2014,11.0,373.4,33.95
Andaman and Nicobar Islands,Nicobars,2014-2015,22.2,254.0,11.44
Andaman and Nicobar Islands,Nicobars,2015-2016,6.0,12.0,2.0
Andaman and Nicobar Islands,Nicobars,2016-2017,18.43,27.0,1.47
Andaman and Nicobar Islands,Nicobars,2017-2018,17.0,13.2,0.78
Andaman and Nicobar Islands,Nicobars,2018-2019,3.0,10.0,3.33
Andaman and Nicobar Islands,Nicobars,2019-2020,3.7,15.0,4.05
Andaman and Nicobar Islands,Nicobars,2020-2021,3.3,13.5,4.09
Andaman and Nicobar Islands,Nicobars,2021-2022,5.5,30.1,5.47
Andaman and Nicobar Islands,North and middle andaman,2013-2014,201.0,4704.6,23.41
Andaman and Nicobar Islands,North and middle andaman,2014-2015,108.0,1543.0,14.29
Andaman and Nicobar Islands,North and middle andaman,2015-2016,48.5,830.0,17.11
Andaman and Nicobar Islands,North and middle andaman,2016-2017,44.7,495.64,11.09
Andaman and Nicobar Islands,North and middle andaman,2017-2018,54.05,153.73,2.84
Andaman and Nicobar Islands,North and middle andaman,2018-2019,94.83,385.43,4.06
Andaman and Nicobar Islands,North and middle andaman,2019-2020,61.31,440.82,7.19
Andaman and Nicobar Islands,North and middle andaman,2020-2021,88.8,393.93,4.44
Andaman and Nicobar Islands,North and middle andaman,2021-2022,47.1,205.26,4.36
Andaman and Nicobar Islands,North and middle andaman,2022-2023,33.0,238.0,7.21
Andaman and Nicobar Islands,South andamans,2013-2014,57.5,2058.0,35.79
Andaman and Nicobar Islands,South andamans,2014-2015,59.8,2158.0,36.09
Andaman and Nicobar Islands,South andamans,2015-2016,54.8,1508.0,27.52
Andaman and Nicobar Islands,South andamans,2016-2017,58.2,1021.0,17.54
Andaman and Nicobar Islands,South andamans,2017-2018,39.47,221.77,5.62
Andaman and Nicobar Islands,South andamans,2018-2019,18.55,261.25,14.08
Andaman and Nicobar Islands,South andamans,2019-2020,23.45,373.82,15.94
Andaman and Nicobar Islands,South andamans,2020-2021,52.84,2497.37,47.26
Andaman and Nicobar Islands,South andamans,2021-2022,92.65,2751.0,29.69
Andaman and Nicobar Islands,South andamans,2022-2023,92.75,2748.78,29.64
Andhra Pradesh,Alluri sitharama raju,2022-2023,47.0,3338.0,71.02
Andhra Pradesh,Anakapalli,2022-2023,15913.0,936029.0,58.82
Andhra Pradesh,Anantapur,2013-2014,281.0,26505.0,94.32
Andhra Pradesh,Anantapur,2014-2015,30.0,2456.0,81.87
Andhra Pradesh,Anantapur,2015-2016,77.0,6359.0,82.58
Andhra Pradesh,Anantapur,2016-2017,95.0,9500.0,100.0
Andhra Pradesh,Anantapur,2017-2018,86.0,8981.0,104.43
Andhra Pradesh,Anantapur,2018-2019,173.0,16435.0,95.0
Andhra Pradesh,Anantapur,2019-2020,172.0,17151.0,99.72
Andhra Pradesh,Anantapur,2020-2021,62.0,6074.0,97.97
Andhra Pradesh,Anantapur,2021-2022,26.0,2238.0,86.08
Andhra Pradesh,Anantapur,2022-2023,32.0,3178.0,99.31
Andhra Pradesh,Annamayya,2022-2023,115.0,11368.0,98.85
Andhra Pradesh,Bapatla,2022-2023,119.0,9401.0,79.0
Andhra Pradesh,Chittoor,2013-2014,28152.0,2562925.0,91.04
Andhra Pradesh,Chittoor,2014-2015,26147.0,2066986.0,79.05
Andhra Pradesh,Chittoor,2015-2016,20831.0,1682300.0,80.76
Andhra Pradesh,Chittoor,2016-2017,18214.0,1599699.0,87.83
Andhra Pradesh,Chittoor,2017-2018,18177.0,1737420.0,95.58
Andhra Pradesh,Chittoor,2018-2019,17169.0,1496011.0,87.13
Andhra Pradesh,Chittoor,2019-2020,14615.0,1361660.0,93.17
Andhra Pradesh,Chittoor,2020-2021,11464.0,1044989.0,91.15
Andhra Pradesh,Chittoor,2021-2022,10547.0,1019661.0,96.68
Andhra Pradesh,Chittoor,2022-2023,7822.0,734222.0,93.87
Andhra Pradesh,East godavari,2013-2014,13857.0,1165341.0,84.1
Andhra Pradesh,East godavari,2014-2015,12405.0,1056420.0,85.16
Andhra Pradesh,East godavari,2015-2016,11647.0,1037710.0,89.1
Andhra Pradesh,East godavari,2016-2017,10515.0,943395.0,89.72
Andhra Pradesh,East godavari,2017-2018,10320.0,912540.0,88.42
