State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. Nicobars,2013 - 2014,11,373.4,33.95,,,,,,,,,,,,
,,2014 - 2015,22.2,254,11.44,,,,,,,,,,,,
,,2015 - 2016,6,12,2,,,,,,,,,,,,
,,2016 - 2017,18.43,27,1.47,,,,,,,,,,,,
,,2017 - 2018,17,13.2,0.78,,,,,,,,,,,,
,,2018 - 2019,3,10,3.33,,,,,,,,,,,,
,,2019 - 2020,3.7,15,4.05,,,,,,,,,,,,
,,2020 - 2021,3.3,13.5,4.09,,,,,,,,,,,,
,,2021 - 2022,5.5,30.1,5.47,,,,,,,,,,,,
,2. North and middle andaman,2013 - 2014,201,"4,704.60",23.41,,,,,,,,,,,,
,,2014 - 2015,108,"1,543.00",14.29,,,,,,,,,,,,
,,2015 - 2016,48.5,830,17.11,,,,,,,,,,,,
,,2016 - 2017,44.7,495.64,11.09,,,,,,,,,,,,
,,2017 - 2018,54.05,153.73,2.84,,,,,,,,,,,,
,,2018 - 2019,94.83,385.43,4.06,,,,,,,,,,,,
,,2019 - 2020,61.31,440.82,7.19,,,,,,,,,,,,
,,2020 - 2021,88.8,393.93,4.44,,,,,,,,,,,,
,,2021 - 2022,47.1,205.26,4.36,,,,,,,,,,,,
,,2022 - 2023,33,238,7.21,,,,,,,,,,,,
,3. South andamans,2013 - 2014,57.5,"2,058.00",35.79,,,,,,,,,,,,
,,2014 - 2015,59.8,"2,158.00",36.09,,,,,,,,,,,,
,,2015 - 2016,54.8,"1,508.00",27.52,,,,,,,,,,,,
,,2016 - 2017,58.2,"1,021.00",17.54,,,,,,,,,,,,
,,2017 - 2018,39.47,221.77,5.62,,,,,,,,,,,,
,,2018 - 2019,18.55,261.25,14.08,,,,,,,,,,,,
,,2019 - 2020,23.45,373.82,15.94,,,,,,,,,,,,
,,2020 - 2021,52.84,"2,497.37",47.26,,,,,,,,,,,,
,,2021 - 2022,92.65,"2,751.00",29.69,,,,,,,,,,,,
,,2022 - 2023,92.75,"2,748.78",29.64,,,,,,,,,,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,,,,47,"3,338.00",71.02,,,,,,,,,
,2. Anakapalli,2022 - 2023,,,,"15,913.00","9,36,029.00",58.82,,,,,,,,,
,3. Anantapur,2013 - 2014,,,,,,,281,"26,505.00",94.32,,,,,,
,,2014 - 2015,,,,,,,30,"2,456.00",81.87,,,,,,
,,2015 - 2016,,,,,,,77,"6,359.00",82.58,,,,,,
,,2016 - 2017,,,,,,,95,"9,500.00",100,,,,,,
,,2017 - 2018,,,,,,,86,"8,981.00",104.43,,,,,,
,,2018 - 2019,,,,173,"16,435.00",95,,,,,,,,,
,,2019 - 2020,,,,172,"17,151.00",99.72,,,,,,,,,
,,2020 - 2021,,,,62,"6,074.00",97.97,,,,,,,,,
,,2021 - 2022,,,,26,"2,238.00",86.08,,,,,,,,,
,,2022 - 2023,,,,32,"3,178.00",99.31,,,,,,,,,
,4. Annamayya,2022 - 2023,,,,115,"11,368.00",98.85,,,,,,,,,
,5. Bapatla,2022 - 2023,,,,119,"9,401.00",79,,,,,,,,,
,6. Chittoor,2013 - 2014,,,,,,,"28,152.00","25,62,925.00",91.04,,,,,,
,,2014 - 2015,,,,,,,"26,147.00","20,66,986.00",79.05,,,,,,
,,2015 - 2016,,,,,,,"20,831.00","16,82,300.00",80.76,,,,,,
,,2016 - 2017,,,,,,,"18,214.00","15,99,699.00",87.83,,,,,,
,,2017 - 2018,,,,,,,"18,177.00","17,37,420.00",95.58,,,,,,
,,2018 - 2019,,,,"17,169.00","14,96,011.00",87.13,,,,,,,,,
,,2019 - 2020,,,,"14,615.00","13,61,660.00",93.17,,,,,,,,,
,,2020 - 2021,,,,"11,464.00","10,44,989.00",91.15,,,,,,,,,
,,2021 - 2022,,,,"10,547.00","10,19,661.00",96.68,,,,,,,,,
,,2022 - 2023,,,,"7,822.00","7,34,222.00",93.87,,,,,,,,,
,7. East godavari,2013 - 2014,,,,,,,"13,857.00","11,65,341.00",84.1,,,,,,
,,2014 - 2015,,,,,,,"12,405.00","10,56,420.00",85.16,,,,,,
,,2015 - 2016,,,,,,,"11,647.00","10,37,710.00",89.1,,,,,,
,,2016 - 2017,,,,,,,"10,515.00","9,43,395.00",89.72,,,,,,
,,2017 - 2018,,,,,,,"10,320.00","9,12,540.00",88.42,,,,,,
,,2018 - 2019,,,,"9,854.00","8,89,636.00",90.28,,,,,,,,,
,,2019 - 2020,,,,"8,134.00","7,25,240.00",89.16,,,,,,,,,
,,2020 - 2021,,,,"1,722.00","1,32,108.00",76.72,,,,,,,,,
,,2021 - 2022,,,,922,"71,829.00",77.91,,,,,,,,,
,,2022 - 2023,,,,"1,077.00","95,217.00",88.41,,,,,,,,,
,8. Eluru,2022 - 2023,,,,"1,438.00","1,38,074.00",96.02,,,,,,,,,
,9. Guntur,2013 - 2014,,,,,,,420,"43,200.00",102.86,,,,,,
,,2014 - 2015,,,,,,,470,"46,102.00",98.09,,,,,,
,,2015 - 2016,,,,,,,332,"34,260.00",103.19,,,,,,
,,2016 - 2017,,,,,,,267,"28,341.00",106.15,,,,,,
,,2017 - 2018,,,,,,,226,"24,090.00",106.59,,,,,,
,,2018 - 2019,,,,221,"21,167.00",95.78,,,,,,,,,
,,2019 - 2020,,,,120,"11,006.00",91.72,,,,,,,,,
,,2020 - 2021,,,,158,"14,450.00",91.46,,,,,,,,,
,,2021 - 2022,,,,153,"14,576.00",95.27,,,,,,,,,
,,2022 - 2023,,,,82,"5,848.00",71.32,,,,,,,,,
,10. Kadapa,2013 - 2014,,,,,,,550,"35,420.00",64.4,,,,,,
,,2014 - 2015,,,,,,,373,"30,621.00",82.09,,,,,,
,,2015 - 2016,,,,,,,261,"19,485.00",74.66,,,,,,
,,2016 - 2017,,,,,,,245,"19,005.00",77.57,,,,,,
,,2017 - 2018,,,,,,,276,"26,851.00",97.29,,,,,,
,,2018 - 2019,,,,402,"26,318.00",65.47,,,,,,,,,
,,2019 - 2020,,,,182,"12,922.00",71,,,,,,,,,
,,2020 - 2021,,,,70,"5,351.00",76.44,,,,,,,,,
,,2021 - 2022,,,,125,"8,650.00",69.2,,,,,,,,,
,,2022 - 2023,,,,87,"8,304.00",95.45,,,,,,,,,
,11. Kakinada,2022 - 2023,,,,678,"60,375.00",89.05,,,,,,,,,
,12. Krishna,2013 - 2014,,,,,,,"16,123.00","14,47,765.00",89.8,,,,,,
,,2014 - 2015,,,,,,,"16,719.00","14,00,898.00",83.79,,,,,,
,,2015 - 2016,,,,,,,"14,555.00","14,91,656.00",102.48,,,,,,
,,2016 - 2017,,,,,,,"10,983.00","9,93,610.00",90.47,,,,,,
,,2017 - 2018,,,,,,,"10,258.00","9,45,664.00",92.19,,,,,,
,,2018 - 2019,,,,"13,133.00","13,04,989.00",99.37,,,,,,,,,
,,2019 - 2020,,,,"8,996.00","8,34,188.00",92.73,,,,,,,,,
,,2020 - 2021,,,,"4,457.00","4,03,344.00",90.5,,,,,,,,,
,,2021 - 2022,,,,"4,381.00","4,41,636.00",100.81,,,,,,,,,
,,2022 - 2023,,,,"3,255.00","3,53,334.00",108.55,,,,,,,,,
,13. Kurnool,2013 - 2014,,,,,,,751,"80,420.00",107.08,,,,,,
,,2014 - 2015,,,,,,,714,"83,391.00",116.79,,,,,,
,,2015 - 2016,,,,,,,960,"95,616.00",99.6,,,,,,
,,2016 - 2017,,,,,,,406,"42,708.00",105.19,,,,,,
,,2017 - 2018,,,,,,,453,"59,259.00",130.81,,,,,,
,,2018 - 2019,,,,695,"62,800.00",90.36,,,,,,,,,
,,2019 - 2020,,,,345,"29,835.00",86.48,,,,,,,,,
,,2020 - 2021,,,,186,"20,397.00",109.66,,,,,,,,,
,,2021 - 2022,,,,128,"14,304.00",111.75,,,,,,,,,
,,2022 - 2023,,,,160,"15,373.00",96.08,,,,,,,,,
,14. Nandyal,2022 - 2023,,,,18,"1,745.00",96.94,,,,,,,,,
,15. Ntr,2022 - 2023,,,,641,"46,169.00",72.03,,,,,,,,,
,16. Palnadu,2022 - 2023,,,,45,"3,075.00",68.33,,,,,,,,,
,17. Parvathipuram manyam,2022 - 2023,,,,"1,066.00","79,776.00",74.84,,,,,,,,,
,18. Prakasam,2013 - 2014,,,,,,,673,"53,132.00",78.95,,,,,,
,,2014 - 2015,,,,,,,900,"64,800.00",72,,,,,,
,,2015 - 2016,,,,,,,628,"49,946.00",79.53,,,,,,
,,2016 - 2017,,,,,,,444,"34,632.00",78,,,,,,
,,2017 - 2018,,,,,,,233,"16,567.00",71.1,,,,,,
,,2018 - 2019,,,,75,"6,150.00",82,,,,,,,,,
,,2019 - 2020,,,,223,"16,861.00",75.61,,,,,,,,,
,,2020 - 2021,,,,167,"12,485.00",74.76,,,,,,,,,
,,2021 - 2022,,,,179,"13,733.00",76.72,,,,,,,,,
,,2022 - 2023,,,,81,"5,319.00",65.67,,,,,,,,,
,19. Spsr nellore,2013 - 2014,,,,,,,"7,835.00","8,17,711.00",104.37,,,,,,
,,2014 - 2015,,,,,,,"4,002.00","3,93,918.00",98.43,,,,,,
,,2015 - 2016,,,,,,,"1,896.00","1,95,847.00",103.29,,,,,,
,,2016 - 2017,,,,,,,"1,184.00","1,14,425.00",96.64,,,,,,
,,2017 - 2018,,,,,,,962,"99,086.00",103,,,,,,
,,2018 - 2019,,,,738,"62,670.00",84.92,,,,,,,,,
,,2019 - 2020,,,,350,"29,592.00",84.55,,,,,,,,,
,,2020 - 2021,,,,22,682,31,,,,,,,,,
,,2021 - 2022,,,,7,553,79,,,,,,,,,
,20. Sri sathya sai,2022 - 2023,,,,21,"1,946.00",92.67,,,,,,,,,
,21. Srikakulam,2013 - 2014,,,,,,,"5,682.00","3,95,814.00",69.66,,,,,,
,,2014 - 2015,,,,,,,"6,378.00","4,35,708.00",68.31,,,,,,
,,2015 - 2016,,,,,,,"6,117.00","4,73,532.00",77.41,,,,,,
,,2016 - 2017,,,,,,,"5,645.00","4,44,538.00",78.75,,,,,,
,,2017 - 2018,,,,,,,"5,336.00","4,48,802.00",84.11,,,,,,
,,2018 - 2019,,,,"6,007.00","4,53,349.00",75.47,,,,,,,,,
,,2019 - 2020,,,,"5,650.00","4,29,400.00",76,,,,,,,,,
,,2020 - 2021,,,,"3,943.00","2,84,147.00",72.06,,,,,,,,,
,,2021 - 2022,,,,"3,586.00","2,51,020.00",70,,,,,,,,,
,,2022 - 2023,,,,945,"85,260.00",90.22,,,,,,,,,
,22. Tirupati,2022 - 2023,,,,"2,119.00","1,91,730.00",90.48,,,,,,,,,
,23. Visakhapatanam,2013 - 2014,,,,,,,"37,603.00","21,03,656.00",55.94,,,,,,
,,2014 - 2015,,,,,,,"37,535.00","18,14,054.00",48.33,,,,,,
,,2015 - 2016,,,,,,,"35,885.00","20,11,535.00",56.06,,,,,,
,,2016 - 2017,,,,,,,"32,364.00","19,08,343.00",58.96,,,,,,
