State,District,NFHS-4 Headcount Ratio,NFHS-4 MPI,NFHS-5 Headcount Ratio,NFHS-5 MPI
Andhra Pradesh,ANANTAPUR,12.47%,0.052,6.74%,0.027
Andhra Pradesh,CHITTOOR,9.64%,0.041,5.66%,0.022
Andhra Pradesh,EAST GODAVARI,8.51%,0.035,6.13%,0.027
Andhra Pradesh,GUNTUR,7.26%,0.03,4.36%,0.016
Andhra Pradesh,KRISHNA,8.69%,0.036,4.38%,0.017
Andhra Pradesh,KURNOOL,19.64%,0.09,12.84%,0.054
Andhra Pradesh,PRAKASAM,13.84%,0.063,6.28%,0.027
Andhra Pradesh,SPSR NELLORE,11.27%,0.049,5.41%,0.023
Andhra Pradesh,SRIKAKULAM,14.01%,0.058,5.20%,0.022
Andhra Pradesh,VISAKHAPATANAM,15.10%,0.071,7.60%,0.031
Andhra Pradesh,VIZIANAGARAM,19.00%,0.081,8.66%,0.035
Andhra Pradesh,WEST GODAVARI,9.11%,0.036,2.42%,0.01
Andhra Pradesh,Y.S.R. (KADAPA),9.14%,0.038,3.34%,0.013
Arunachal Pradesh,ANJAW,22.86%,0.098,13.09%,0.057
Arunachal Pradesh,CHANGLANG,26.47%,0.127,14.39%,0.063
Arunachal Pradesh,DIBANG VALLEY,16.95%,0.07,10.11%,0.043
Arunachal Pradesh,EAST KAMENG,44.03%,0.215,22.05%,0.095
Arunachal Pradesh,EAST SIANG,8.84%,0.037,8.11%,0.033
Arunachal Pradesh,KRA DAADI,,,18.91%,0.083
Arunachal Pradesh,KURUNG KUMEY,39.55%,0.188,11.14%,0.045
Arunachal Pradesh,LOHIT,31.97%,0.164,12.39%,0.053
Arunachal Pradesh,LONGDING,,,20.97%,0.092
Arunachal Pradesh,LOWER DIBANG VALLEY,23.56%,0.108,9.08%,0.037
Arunachal Pradesh,LOWER SUBANSIRI,15.80%,0.069,6.39%,0.025
Arunachal Pradesh,NAMSAI,,,22.11%,0.101
Arunachal Pradesh,PAPUM PARE,12.85%,0.059,13.76%,0.06
Arunachal Pradesh,SIANG,,,9.15%,0.036
Arunachal Pradesh,TAWANG,31.25%,0.143,8.46%,0.035
Arunachal Pradesh,TIRAP,28.30%,0.136,14.78%,0.067
Arunachal Pradesh,UPPER SIANG,15.88%,0.066,8.74%,0.035
Arunachal Pradesh,UPPER SUBANSIRI,29.78%,0.134,19.71%,0.083
Arunachal Pradesh,WEST KAMENG,22.44%,0.098,4.74%,0.019
Arunachal Pradesh,WEST SIANG,14.49%,0.065,13.85%,0.058
Assam,BAKSA,23.59%,0.102,15.60%,0.064
Assam,BARPETA,39.41%,0.183,19.12%,0.083
Assam,BISWANATH,,,22.09%,0.102
Assam,BONGAIGAON,33.77%,0.155,17.39%,0.075
Assam,CACHAR,42.29%,0.209,30.58%,0.14
Assam,CHARAIDEO,,,20.10%,0.095
Assam,CHIRANG,36.20%,0.165,16.79%,0.071
Assam,DARRANG,38.22%,0.189,23.65%,0.1
Assam,DHEMAJI,27.71%,0.125,13.73%,0.056
Assam,DHUBRI,51.06%,0.26,26.02%,0.116
Assam,DIBRUGARH,28.97%,0.136,12.26%,0.056
Assam,DIMA HASAO,31.07%,0.155,13.62%,0.061
