District,State,Year,Registered_HH,Employment_Demanded,Employment_Availed,Persons_Employed,Total_Persondays,HH_Completed_100Days,Unskilled_Wage_Current,Unskilled_Wage_Previous_Liability,Total_Expenditure,Avg_Wage_Per_Personday,Cost_Per_Personday,Women_Employment_Provided,Workers_SC,Workers_ST,Workers_Total,total_area,total_production,agri_yield_index,asset_index_0_1,Annual_Rainfall_mm,Total_Income,ADJ_TOT_EXP,NFHS-4_MPI,NFHS-5_MPI,Rural_Population,Area_sqkm
ADILABAD,TELANGANA,2014,644584,332146,280593,525708,14539265,30955,16403.4,666.76,25385.34,126.56,183.75,280593.0,275544.0,120610.0,236703.0,389781.0,728487.0,1.8689648802789256,0.248219692,622.5579993206521,10949.73709,66167110,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2015,669440,346659,299747,559369,16305987,33924,22881.45,1971.37,28493.96,145.73,168.06,299747.0,294225.0,126433.0,255196.0,431890.0,1029344.0,2.3833476116603767,0.253957414,588.6115828804348,9899.68029,36999030,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2016,154851,90202,79765,152455,3652716,6553,5391.43,208.11,7730.17,161.87,220.45,79765.0,75222.0,25782.0,54058.0,127090.0,314102.0,2.4714926430088915,0.241635595,696.6470363451087,10431.21974,50151171,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2017,154142,94725,71569,136136,3510005,6667,5092.7,536.24,8875.32,156.7,213.38,71569.0,67819.0,23323.0,44920.0,164915.0,472749.0,2.8666221993147984,0.221670872,459.7477072010869,10710.20811,46861660,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2018,158980,80659,74113,139671,3613927,6637,5888.4,415.04,10161.9,166.19,230.31,74113.0,69952.0,23047.0,48598.0,166866.0,396773.0,2.3777941581868087,0.28944506,850.179347826087,11432.9101,61421207,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2019,162018,76062,73490,136040,3477133,5929,6034.7,120.14,7174.98,175.48,198.81,73490.0,67404.0,22330.0,46048.0,164845.0,697609.0,4.231908762777154,0.329334598,768.253566576087,11953.5653,59961635,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2020,170672,107822,97499,187193,5702065,14235,10983.8,22.23,16093.88,193.63,261.26,97499.0,91849.0,31429.0,68868.0,197609.0,485072.0,2.4547060103537794,0.290126006,579.6448284646739,5178.668845,23767280,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2021,174719,95438,93441,177081,5283304,13882,10457.48,14.68,16321.91,202.64,265.68,93441.0,87453.0,28634.0,64956.0,182165.0,430040.0,2.360716932451349,0.287206961,834.7381114130435,11356.62767,47929381,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2022,167892,105291,82375,155849,3526329,461,6485.38,232.71,11279.47,188.86,214.63,82375.0,78121.0,25620.0,54610.0,182091.009,511506.0029,2.809067870561363,0.305318847,938.441066576087,20248.79809,89202258,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2023,171510,95754,84805,155269,4460754,3239,8678.97,160.5,15770.0,202.69,262.19,84805.0,77515.0,25058.0,50843.0,182091.009,511506.0029,2.809067870561363,0.369958362,769.672214673913,27918.53095,156347567,0.125,0.064,1980980.0,15751.3
