District,Year,ADJ_TOT_EXP
ADILABAD,2014,66167110
ADILABAD,2015,36999030
ADILABAD,2016,50151171
ADILABAD,2017,46861660
ADILABAD,2018,61421207
ADILABAD,2019,59961635
ADILABAD,2020,23767280
ADILABAD,2021,47929381
ADILABAD,2022,89202258
ADILABAD,2023,156347567
ADILABAD,2024,153442832
ADILABAD,2025,56932962
AGRA,2014,99737422
AGRA,2015,86773924
AGRA,2016,70544303
AGRA,2017,73857801
AGRA,2018,92741675
AGRA,2019,95729721
AGRA,2020,57631109
AGRA,2021,66617382
AGRA,2022,78342666
AGRA,2023,109600671
AGRA,2024,117337304
AGRA,2025,47061721
AHMADABAD,2014,84045047
AHMADABAD,2015,87261347
AHMADABAD,2016,83523220
AHMADABAD,2017,99429989
AHMADABAD,2018,133529948
AHMADABAD,2019,120597704
AHMADABAD,2020,72560835
AHMADABAD,2021,140827431
AHMADABAD,2022,124213143
AHMADABAD,2023,106935368
AHMADABAD,2024,111977177
AHMADABAD,2025,50674110
AHMADNAGAR,2014,85433710
AHMADNAGAR,2015,89099327
AHMADNAGAR,2016,126492702
AHMADNAGAR,2017,122557158
AHMADNAGAR,2018,121315032
AHMADNAGAR,2019,138063484
AHMADNAGAR,2020,67858790
AHMADNAGAR,2021,83952168
AHMADNAGAR,2022,95068009
AHMADNAGAR,2023,94182605
AHMADNAGAR,2024,108288878
AHMADNAGAR,2025,29152820
AJMER,2014,31542936
AJMER,2015,31814543
AJMER,2016,40489623
AJMER,2017,59152510
AJMER,2018,80061333
AJMER,2019,85497718
AJMER,2020,53826600
AJMER,2021,49663449
AJMER,2022,137958185
AJMER,2023,131457995
AJMER,2024,141670287
AJMER,2025,39113863
AKOLA,2016,15107405
AKOLA,2017,24470900
AKOLA,2018,24602385
AKOLA,2019,27142513
AKOLA,2020,4315632
AKOLA,2021,16802937
AKOLA,2022,26987098
AKOLA,2023,29257659
AKOLA,2024,24231938
AKOLA,2025,9044234
ALAPPUZHA,2014,42562801
ALAPPUZHA,2015,46839946
ALAPPUZHA,2016,41592005
ALAPPUZHA,2017,59343021
ALAPPUZHA,2018,62866715
ALAPPUZHA,2019,81386962
ALAPPUZHA,2020,48126337
ALAPPUZHA,2021,49596998
ALAPPUZHA,2022,85211207
ALAPPUZHA,2023,97191067
ALAPPUZHA,2024,89757984
ALAPPUZHA,2025,35695640
ALIGARH,2014,67719228
ALIGARH,2015,68169901
ALIGARH,2016,58433735
ALIGARH,2017,56181882
ALIGARH,2018,70705999
ALIGARH,2019,65913147
ALIGARH,2020,49081302
ALIGARH,2021,48738554
