State,District,Year,total_area,total_production,agri_yield_index
Andaman and Nicobar Islands,NICOBARS,2013,13.65,379.7,27.81684981684981
Andaman and Nicobar Islands,NICOBARS,2014,26.8,264.8,9.880597014925376
Andaman and Nicobar Islands,NICOBARS,2015,11.0,23.2,2.109090909090909
Andaman and Nicobar Islands,NICOBARS,2016,25.1,36.54,1.4557768924302787
Andaman and Nicobar Islands,NICOBARS,2017,18.0,13.73,0.7627777777777777
Andaman and Nicobar Islands,NICOBARS,2018,7.1,16.009999999999998,2.2549295774647886
Andaman and Nicobar Islands,NICOBARS,2019,6.800000000000001,19.3,2.8382352941176467
Andaman and Nicobar Islands,NICOBARS,2020,3.3,13.5,4.090909090909091
Andaman and Nicobar Islands,NICOBARS,2021,5.5,30.1,5.472727272727273
Andaman and Nicobar Islands,NICOBARS,2022,1.0,1.26,1.26
Andaman and Nicobar Islands,NICOBARS,2023,1.0,1.26,1.26
Andaman and Nicobar Islands,NICOBARS,2024,1.0,1.26,1.26
Andaman and Nicobar Islands,NICOBARS,2025,1.0,1.26,1.26
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,7887.25,20154.800000000003,2.5553646708295035
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2014,6284.4,14201.0,2.25972248742919
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2015,5927.9,14058.3,2.3715481030381755
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2016,4735.9,12577.94,2.655871112143416
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2017,5155.05,10883.66,2.1112617724367366
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2018,5317.68,11441.21,2.151541649741993
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2019,5691.780000000001,18212.4,3.199772303216217
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2020,90.9,394.13,4.335863586358636
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2021,49.8,205.76,4.131726907630521
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2022,4949.15,10607.34,2.1432650051018864
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2023,4949.15,10607.34,2.1432650051018864
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2024,4949.15,10607.34,2.1432650051018864
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2025,4949.15,10607.34,2.1432650051018864
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,375.3,2850.2,7.594457767119636
Andaman and Nicobar Islands,SOUTH ANDAMANS,2014,328.3,2622.7,7.988729820286323
Andaman and Nicobar Islands,SOUTH ANDAMANS,2015,271.4,1947.0,7.173913043478262
Andaman and Nicobar Islands,SOUTH ANDAMANS,2016,243.3,1523.18,6.260501438553226
Andaman and Nicobar Islands,SOUTH ANDAMANS,2017,279.22,722.05,2.5859537282429623
Andaman and Nicobar Islands,SOUTH ANDAMANS,2018,182.71,639.8199999999999,3.501833506649882
Andaman and Nicobar Islands,SOUTH ANDAMANS,2019,91.0,579.19,6.364725274725275
Andaman and Nicobar Islands,SOUTH ANDAMANS,2020,52.84,2497.37,47.26286903860712
Andaman and Nicobar Islands,SOUTH ANDAMANS,2021,92.65,2751.0,29.69239071775499
Andaman and Nicobar Islands,SOUTH ANDAMANS,2022,166.25,2901.84,17.454676691729325
Andaman and Nicobar Islands,SOUTH ANDAMANS,2023,166.25,2901.84,17.454676691729325
Andaman and Nicobar Islands,SOUTH ANDAMANS,2024,166.25,2901.84,17.454676691729325
Andaman and Nicobar Islands,SOUTH ANDAMANS,2025,166.25,2901.84,17.454676691729325
Andhra Pradesh,ANANTAPUR,2013,128271.0062,201043.00127,1.5673300399354004
Andhra Pradesh,ANANTAPUR,2014,140537.00884,89833.0,0.6392124091830785
Andhra Pradesh,ANANTAPUR,2015,132365.00633,112328.0,0.8486230848654543
