District,Year,asset_index_0_1
ANANTAPUR,2014,0.262090713
ANANTAPUR,2015,0.281295392
ANANTAPUR,2016,0.232809879
ANANTAPUR,2017,0.207055679
ANANTAPUR,2018,0.281906413
ANANTAPUR,2019,0.322598236
ANANTAPUR,2020,0.339105328
ANANTAPUR,2021,0.356965048
ANANTAPUR,2022,0.280788685
ANANTAPUR,2023,0.384041096
ANANTAPUR,2024,0.421983212
ANANTAPUR,2025,0.4171825
CHITTOOR,2014,0.196015084
CHITTOOR,2015,0.205695438
CHITTOOR,2016,0.180334523
CHITTOOR,2017,0.167283251
CHITTOOR,2018,0.209411898
CHITTOOR,2019,0.265210584
CHITTOOR,2020,0.26726624
CHITTOOR,2021,0.277376984
CHITTOOR,2022,0.331015503
CHITTOOR,2023,0.395281195
CHITTOOR,2024,0.475565696
CHITTOOR,2025,0.470931247
EAST GODAVARI,2014,0.261823268
EAST GODAVARI,2015,0.306368801
EAST GODAVARI,2016,0.299630622
EAST GODAVARI,2017,0.285272213
EAST GODAVARI,2018,0.332281187
EAST GODAVARI,2019,0.351298533
EAST GODAVARI,2020,0.344935233
EAST GODAVARI,2021,0.349060542
EAST GODAVARI,2022,0.365189467
EAST GODAVARI,2023,0.393445602
EAST GODAVARI,2024,0.460711403
EAST GODAVARI,2025,0.476909416
GUNTUR,2014,0.243941466
GUNTUR,2015,0.281893641
GUNTUR,2016,0.268784669
GUNTUR,2017,0.266081302
GUNTUR,2018,0.338682085
GUNTUR,2019,0.366813171
GUNTUR,2020,0.342921387
GUNTUR,2021,0.369242404
GUNTUR,2022,0.342685336
GUNTUR,2023,0.370202162
GUNTUR,2024,0.562739338
GUNTUR,2025,0.54197078
KRISHNA,2014,0.285708649
KRISHNA,2015,0.348285581
KRISHNA,2016,0.328245872
KRISHNA,2017,0.287553687
KRISHNA,2018,0.354945996
KRISHNA,2019,0.371644226
KRISHNA,2020,0.346241692
KRISHNA,2021,0.3786674
KRISHNA,2022,0.38254568
KRISHNA,2023,0.401899502
KRISHNA,2024,0.461296928
KRISHNA,2025,0.470937643
KURNOOL,2014,0.190473299
KURNOOL,2015,0.234000415
KURNOOL,2016,0.204758492
KURNOOL,2017,0.189095701
KURNOOL,2018,0.263106866
KURNOOL,2019,0.30879993
KURNOOL,2020,0.31464415
KURNOOL,2021,0.317537771
KURNOOL,2022,0.297079943
KURNOOL,2023,0.353551767
KURNOOL,2024,0.382889838
KURNOOL,2025,0.390207726
PRAKASAM,2014,0.258886901
PRAKASAM,2015,0.277398414
PRAKASAM,2016,0.243233614
PRAKASAM,2017,0.238409278
PRAKASAM,2018,0.334379291
PRAKASAM,2019,0.35892342
PRAKASAM,2020,0.340229277
PRAKASAM,2021,0.3664342
PRAKASAM,2022,0.345181275
PRAKASAM,2023,0.389516051
PRAKASAM,2024,0.543624134
PRAKASAM,2025,0.539574173
SRI POTTI SRIRAMULU NELLORE,2014,0.20864837
SRI POTTI SRIRAMULU NELLORE,2015,0.21302553
SRI POTTI SRIRAMULU NELLORE,2016,0.208057558
SRI POTTI SRIRAMULU NELLORE,2017,0.193181953
SRI POTTI SRIRAMULU NELLORE,2018,0.244143097
SRI POTTI SRIRAMULU NELLORE,2019,0.272511864
SRI POTTI SRIRAMULU NELLORE,2020,0.246192942
SRI POTTI SRIRAMULU NELLORE,2021,0.284794315
SRI POTTI SRIRAMULU NELLORE,2022,0.262937986
SRI POTTI SRIRAMULU NELLORE,2023,0.38588504
SRI POTTI SRIRAMULU NELLORE,2024,0.490451179
SRI POTTI SRIRAMULU NELLORE,2025,0.492988854
SRIKAKULAM,2014,0.21943559
SRIKAKULAM,2015,0.236006368
SRIKAKULAM,2016,0.234019154
SRIKAKULAM,2017,0.214060521
SRIKAKULAM,2018,0.272515077
SRIKAKULAM,2019,0.308175302
SRIKAKULAM,2020,0.296473281
SRIKAKULAM,2021,0.262777866
SRIKAKULAM,2022,0.332136557
SRIKAKULAM,2023,0.326243573
SRIKAKULAM,2024,0.332363411
SRIKAKULAM,2025,0.33975333
VISAKHAPATNAM,2014,0.227152552
VISAKHAPATNAM,2015,0.248614543
VISAKHAPATNAM,2016,0.259683464
VISAKHAPATNAM,2017,0.255893668
VISAKHAPATNAM,2018,0.318408335
VISAKHAPATNAM,2019,0.367614922
VISAKHAPATNAM,2020,0.359253757
VISAKHAPATNAM,2021,0.374724423
VISAKHAPATNAM,2022,0.39531543
VISAKHAPATNAM,2023,0.400445023
VISAKHAPATNAM,2024,0.460344264
VISAKHAPATNAM,2025,0.505681497
VIZIANAGARAM,2014,0.193383056
VIZIANAGARAM,2015,0.220011363
VIZIANAGARAM,2016,0.222755849
VIZIANAGARAM,2017,0.232366495
VIZIANAGARAM,2018,0.270505704
VIZIANAGARAM,2019,0.316832445
VIZIANAGARAM,2020,0.309726899
VIZIANAGARAM,2021,0.320835826
