District,Year,Annual_Rainfall_mm
ADILABAD,2014,622.5579993206521
AGARMALWA,2014,636.93505859375
AGRA,2014,717.7482096354166
AHMADABAD,2014,642.07353515625
AHMADNAGAR,2014,646.4919140625
AIZAWL,2014,0.0
AJMER,2014,508.6381022135417
AKOLA,2014,1031.269287109375
ALAPPUZHA,2014,81.45173645019531
ALIGARH,2014,777.37177734375
ALIPURDUAR,2014,0.0
ALIRAJPUR,2014,820.6228637695312
ALLAHABAD,2014,1481.218017578125
ALMORA,2014,542.2204996744791
ALWAR,2014,719.802001953125
AMBALA,2014,529.492431640625
AMBEDKARNAGAR,2014,1444.557861328125
AMETHI,2014,1574.089111328125
AMRAVATI,2014,978.4215303308824
AMRELI,2014,405.61576704545456
AMRITSAR,2014,3110.6671875
AMROHA,2014,680.594140625
ANAND,2014,822.8186848958334
ANANTAPUR,2014,995.5648148148148
ANANTNAG,2014,0.0
ANJAW,2014,0.0
ANUGUL,2014,1143.038671875
ANUPPUR,2014,1297.9458821614585
ARARIA,2014,0.0
ARAVALLI,2014,854.3873697916666
ARIYALUR,2014,71.42549133300781
ARWAL,2014,1373.5758056640625
ASHOKNAGAR,2014,802.2660435267857
AURAIYA,2014,784.2828369140625
AURANGABAD,2014,1053.840762867647
AZAMGARH,2014,1370.8452845982142
BADGAM,2014,0.0
BAGALKOT,2014,357.0094401041667
BAGESHWAR,2014,552.8483479817709
BAGHPAT,2014,727.6815795898438
BAHRAICH,2014,790.28271484375
BAKSA,2014,0.0
BALAGHAT,2014,1056.6577845982142
BALANGIR,2014,808.9096137152778
BALESHWAR,2014,1041.044782366071
BALLIA,2014,1673.301025390625
BALOD,2014,921.5636393229166
BALODABAZAR,2014,1397.91943359375
BALRAMPUR,2014,1426.059291294643
BANASKANTHA,2014,105.31327056884766
BANDA,2014,1318.511962890625
BANDIPORE,2014,0.0
BANGALORE,2014,1083.62890625
BANGALORERURAL,2014,931.4994303385416
BANKA,2014,328.8028564453125
BANKURA,2014,1597.0258246527778
BANSWARA,2014,564.1958414713541
BARABANKI,2014,1336.2967936197915
BARAMULLA,2014,0.0
BARAN,2014,644.8454367897727
BARDDHAMAN,2014,501.3323364257813
BAREILLY,2014,791.448583984375
BARGARH,2014,865.08056640625
BARMER,2014,0.0
BARNALA,2014,1210.605712890625
BARPETA,2014,0.0
BARWANI,2014,701.768408203125
BASTAR,2014,709.6605224609375
BASTI,2014,1546.151123046875
BATHINDA,2014,1943.6227213541667
BAUDA,2014,788.1318359375
BEGUSARAI,2014,0.0
BELGAUM,2014,404.9690755208333
BELLARY,2014,380.268798828125
BEMETARA,2014,1304.49609375
BETUL,2014,1082.375732421875
BHADRAK,2014,1008.4696044921876
BHAGALPUR,2014,0.0
BHANDARA,2014,803.431689453125
BHARATPUR,2014,713.3067801339286
BHARUCH,2014,789.4063720703125
BHAVNAGAR,2014,520.4323459201389
BHILWARA,2014,533.447265625
BHIND,2014,632.9472249348959
BHIWANI,2014,672.3487025669643
BHOJPUR,2014,1396.8056640625
BHOPAL,2014,808.9650065104166
BID,2014,756.0003255208334
BIDAR,2014,586.2496512276786
BIJAPUR,2014,402.0239762931034
BIJNOR,2014,595.4251534598214
BIKANER,2014,1193.630037006579
BILASPUR,2014,1389.197482638889
BIRBHUM,2014,0.0
BISHNUPUR,2014,
BOKARO,2014,1614.1305338541667
BONGAIGAON,2014,0.0
BOTAD,2014,636.796875
BUDAUN,2014,587.5103236607143
BULANDSHAHR,2014,786.4325358072916
BULDANA,2014,995.7611979166668
BUNDI,2014,507.0770263671875
BURHANPUR,2014,752.04150390625
BUXAR,2014,1730.9654947916667
CACHAR,2014,0.0
CHAMBA,2014,1016.359375
CHAMOLI,2014,667.6547037760416
CHAMPAWAT,2014,687.3346557617188
CHAMPHAI,2014,0.0
CHAMRAJNAGAR,2014,1099.626708984375
CHANDAULI,2014,1635.4755859375
CHANDEL,2014,0.0
CHANDIGARH,2014,
CHANDRAPUR,2014,728.7338579963235
CHANGLANG,2014,0.0
CHATRA,2014,1448.3755859375
CHENNAI,2014,
CHHATARPUR,2014,1010.1277669270834
CHHINDWARA,2014,983.9905790441176
CHHOTAUDAIPUR,2014,748.585693359375
CHIKBALLAPURA,2014,949.2893415178572
CHIKMAGALUR,2014,571.9673897879464
CHIRANG,2014,0.0
CHITRADURGA,2014,726.8828125
CHITRAKOOT,2014,1464.6116943359375
CHITTAURGARH,2014,514.9734375
CHITTOOR,2014,829.2066761363636
CHURACHANDPUR,2014,0.0
CHURU,2014,1045.8362379807693
COIMBATORE,2014,177.95667724609376
CUDDALORE,2014,231.64892578125
CUTTACK,2014,1188.834228515625
DADRAANDNAGARHAVELI,2014,488.6666564941406
DAHOD,2014,863.729736328125
DAKSHINDINAJPUR,2014,0.0
DAKSHINAKANNADA,2014,768.3837076822916
DAMAN,2014,868.8275146484375
DAMOH,2014,906.3365589488636
DANTEWADA,2014,541.6004638671875
DARBHANGA,2014,0.0
DARJILING,2014,0.0
DARRANG,2014,0.0
DATIA,2014,896.796875
DAUSA,2014,785.426220703125
DAVANAGERE,2014,419.408935546875
DEBAGARH,2014,1070.8870849609375
DEHRADUN,2014,427.22060546875
DEOGHAR,2014,1774.9449869791667
DEORIA,2014,1129.70166015625
DEVBHUMIDWARKA,2014,268.0346272786458
DEWAS,2014,1170.704318576389
DHALAI,2014,0.0
DHAMTARI,2014,1079.1590169270833
DHANBAD,2014,1575.7237955729167
DHAR,2014,789.3201349431819
DHARMAPURI,2014,585.18994140625
DHARWAD,2014,256.66946847098217
DHAULPUR,2014,607.08466796875
DHEMAJI,2014,0.0
DHENKANAL,2014,1326.1568080357142
DHUBRI,2014,0.0
DHULE,2014,655.8625081380209
DIBANGVALLEY,2014,0.0
DIBRUGARH,2014,0.0
DIMAHASAO,2014,0.0
DIMAPUR,2014,
DINDIGUL,2014,36.754432678222656
DINDORI,2014,1194.038302951389
DIU,2014,
DODA,2014,3033.1832682291665
DUMKA,2014,343.31865234375
DUNGARPUR,2014,676.446533203125
DURG,2014,967.7847493489584
EASTGAROHILLS,2014,0.0
EASTGODAVARI,2014,906.053515625
EASTKAMENG,2014,0.0
EASTKHASIHILLS,2014,0.0
EASTNIMAR,2014,763.5338245738636
EASTSIANG,2014,0.0
EASTSIKKIM,2014,0.0
ERNAKULAM,2014,91.04899088541669
ERODE,2014,543.025439453125
ETAH,2014,801.1585693359375
ETAWAH,2014,561.3253987630209
FAIZABAD,2014,1685.9860026041667
FARIDABAD,2014,762.4879760742188
FARIDKOT,2014,4415.86767578125
FARRUKHABAD,2014,603.3693237304688
FATEHABAD,2014,908.7413330078124
FATEHGARHSAHIB,2014,1080.9012451171875
FATEHPUR,2014,1237.6739908854167
FAZILKA,2014,780.739306640625
FIROZABAD,2014,585.7304280598959
FIROZPUR,2014,3318.048046875
GADAG,2014,211.94429524739584
GAJAPATI,2014,679.356689453125
GANDERBAL,2014,
GANDHINAGAR,2014,660.0174967447916
GANGANAGAR,2014,1188.9445929276317
GANJAM,2014,821.044921875
GARHCHIROLI,2014,669.8833550347222
GARHWA,2014,1562.302734375
GARHWAL,2014,483.6847873263889
GARIABAND,2014,935.2546997070312
GAUTAMBUDDHANAGAR,2014,758.845458984375
GAYA,2014,1505.31474609375
GHAZIABAD,2014,670.265869140625
GHAZIPUR,2014,1608.63486328125
GIRSOMNATH,2014,256.7394205729167
GIRIDIH,2014,1624.6821986607142
GOALPARA,2014,0.0
GODDA,2014,0.0
GOLAGHAT,2014,0.0
GOMATI,2014,0.0
GONDA,2014,1144.760546875
GONDIYA,2014,896.9504045758929
GOPALGANJ,2014,0.0
GORAKHPUR,2014,1164.6153564453125
GULBARGA,2014,453.8642202524039
GUMLA,2014,1371.23828125
GUNA,2014,732.0652669270834
GUNTUR,2014,699.6169084821429
GURDASPUR,2014,3903.44970703125
GURGAON,2014,729.1985473632812
GWALIOR,2014,705.1307779947916
HAILAKANDI,2014,0.0
HAMIRPUR,2014,1029.5677490234375
HANUMANGARH,2014,2062.578125
HAORA,2014,1244.61474609375
HAPUR,2014,684.204833984375
HARDA,2014,845.95595703125
HARDOI,2014,727.9783935546875
HARDWAR,2014,563.8306477864584
HASSAN,2014,1199.3751953125
HATHRAS,2014,743.9850260416666
HAVERI,2014,296.84307861328125
HAZARIBAGH,2014,1487.5662434895833
HINGOLI,2014,994.5496826171876
HISAR,2014,738.5260416666666
HOSHANGABAD,2014,1088.503662109375
HOSHIARPUR,2014,1609.4244791666667
HUGLI,2014,1535.240234375
HYDERABAD,2014,
IDUKKI,2014,46.02960205078125
IMPHALEAST,2014,
IMPHALWEST,2014,0.0
INDORE,2014,839.2640625
JABALPUR,2014,1041.76328125
JAGATSINGHAPUR,2014,1068.8748779296875
JAINTIAHILLS,2014,0.0
JAIPUR,2014,594.8347311580883
JAISALMER,2014,0.0
