District,Year,Total Income
ADILABAD,2014,10949.73709
ADILABAD,2015,9899.68029
ADILABAD,2016,10431.21974
ADILABAD,2017,10710.20811
ADILABAD,2018,11432.9101
ADILABAD,2019,11953.5653
ADILABAD,2020,5178.668845
ADILABAD,2021,11356.62767
ADILABAD,2022,20248.79809
ADILABAD,2023,27918.53095
ADILABAD,2024,41678.65185
ADILABAD,2025,42476.94059
AGRA,2014,14876.52956
AGRA,2015,13000.7034
AGRA,2016,10555.61697
AGRA,2017,14683.9278
AGRA,2018,17815.26028
AGRA,2019,21299.48898
AGRA,2020,12875.36448
AGRA,2021,15104.92781
AGRA,2022,14105.85129
AGRA,2023,16840.30665
AGRA,2024,23618.15682
AGRA,2025,38908.15876
AHMADABAD,2014,9839.367795
AHMADABAD,2015,9546.102709
AHMADABAD,2016,10120.82626
AHMADABAD,2017,12868.59533
AHMADABAD,2018,17308.25631
AHMADABAD,2019,13890.32351
AHMADABAD,2020,6676.033716
AHMADABAD,2021,17383.13782
AHMADABAD,2022,12874.5906
AHMADABAD,2023,10286.65026
AHMADABAD,2024,13110.50414
AHMADABAD,2025,20561.60478
AHMADNAGAR,2014,11623.99903
AHMADNAGAR,2015,13822.07668
AHMADNAGAR,2016,14450.76579
AHMADNAGAR,2017,13964.13851
AHMADNAGAR,2018,12001.06565
AHMADNAGAR,2019,11634.41635
AHMADNAGAR,2020,6839.290735
AHMADNAGAR,2021,7930.215552
AHMADNAGAR,2022,9190.444995
AHMADNAGAR,2023,13053.56001
AHMADNAGAR,2024,18290.18486
AHMADNAGAR,2025,14991.83456
AJMER,2014,11383.85438
AJMER,2015,10808.51646
AJMER,2016,14000.12335
AJMER,2017,14261.64321
AJMER,2018,22505.29002
AJMER,2019,21452.7898
AJMER,2020,14263.83135
AJMER,2021,7018.965059
AJMER,2022,16579.12304
AJMER,2023,13516.84183
AJMER,2024,21609.05621
AJMER,2025,15976.80879
AKOLA,2016,8237.908782
AKOLA,2017,9570.305369
AKOLA,2018,13749.02825
AKOLA,2019,15899.37411
AKOLA,2020,2885.710102
AKOLA,2021,15229.33077
AKOLA,2022,16043.68783
AKOLA,2023,19293.16913
AKOLA,2024,23798.30206
AKOLA,2025,21512.17911
ALAPPUZHA,2014,9348.711023
ALAPPUZHA,2015,11499.04017
ALAPPUZHA,2016,9545.071641
ALAPPUZHA,2017,12743.80164
ALAPPUZHA,2018,13830.86468
ALAPPUZHA,2019,17598.48137
ALAPPUZHA,2020,8090.095414
ALAPPUZHA,2021,10075.71779
ALAPPUZHA,2022,20255.79521
ALAPPUZHA,2023,20792.10158
ALAPPUZHA,2024,23790.68314
ALAPPUZHA,2025,35385.49983
ALIGARH,2014,14838.04434
ALIGARH,2015,14423.36683
ALIGARH,2016,13186.46406
ALIGARH,2017,15300.55872
ALIGARH,2018,22334.58399
ALIGARH,2019,27965.05663
ALIGARH,2020,18067.22154
ALIGARH,2021,17385.437
ALIGARH,2022,16675.44571
ALIGARH,2023,18785.09064
ALIGARH,2024,24122.1585
ALIGARH,2025,47063.49983
ALIRAJPUR,2014,6901.508249
ALIRAJPUR,2015,6647.350769
ALIRAJPUR,2016,7542.774644
ALIRAJPUR,2017,2195.403276
ALIRAJPUR,2018,4315.010469
ALIRAJPUR,2019,7565.909785
