District,State,Year,Registered Households,Employment Demanded,Employment Availed,Persons Employed,Total Peersondays,Househols Completed 100 Days
NICOBARS,ANDAMAN AND NICOBAR,2014,5649,1561,1474,1656,52701,84
NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR,2014,20587,9995,9765,12520,484295,1192
SOUTH ANDAMAN,ANDAMAN AND NICOBAR,2014,25165,2578,2578,2799,41505,17
ANANTAPUR,ANDHRA PRADESH,2014,785003,331253,260241,475250,14935595,44985
CHITTOOR,ANDHRA PRADESH,2014,654862,214885,182254,291627,9961058,38642
CUDDAPAH,ANDHRA PRADESH,2014,558165,222965,191545,313568,10148127,28505
EAST GODAVARI,ANDHRA PRADESH,2014,771110,323080,318887,476502,12526890,22302
GUNTUR,ANDHRA PRADESH,2014,728570,279767,257693,444673,7581302,5440
KRISHNA,ANDHRA PRADESH,2014,579579,258496,202956,342331,6000905,5726
KURNOOL,ANDHRA PRADESH,2014,745013,324417,215908,394839,7955942,11868
NELLORE,ANDHRA PRADESH,2014,563900,223209,164981,267420,5667765,6831
PRAKASAM,ANDHRA PRADESH,2014,697508,381764,327218,561506,14186631,23110
SRIKAKULAM,ANDHRA PRADESH,2014,561996,405199,354101,570158,19504665,50043
VISAKHAPATANAM,ANDHRA PRADESH,2014,472167,210031,303912,546714,18642655,59555
VIZIANAGARAM,ANDHRA PRADESH,2014,543981,308983,353648,612000,23223068,76627
WEST GODAVARI,ANDHRA PRADESH,2014,620304,209304,173428,277906,5791669,9348
ANJAW,ARUNACHAL PRADESH,2014,7110,4613,4570,4570,51283,0
CHANGLANG,ARUNACHAL PRADESH,2014,12351,6344,4708,5707,129533,1
EAST KAMENG,ARUNACHAL PRADESH,2014,16849,14958,11889,11917,87855,0
EAST SIANG,ARUNACHAL PRADESH,2014,8408,7950,7636,7695,49445,0
KURUNG KUMEY,ARUNACHAL PRADESH,2014,21879,17878,17639,17764,252316,1
LOHIT,ARUNACHAL PRADESH,2014,18230,7620,7070,7071,219769,0
LONGDING,ARUNACHAL PRADESH,2014,8901,4649,4452,4696,71991,0
LOWER DIBANG VALLEY,ARUNACHAL PRADESH,2014,6965,6783,6747,6758,112009,0
LOWER SUBANSIRI,ARUNACHAL PRADESH,2014,19541,14887,13905,13976,174033,11
PAPUM PARE,ARUNACHAL PRADESH,2014,14691,14028,13231,13253,171212,0
SIANG,ARUNACHAL PRADESH,2014,4765,2664,2505,2505,41368,0
TAWANG,ARUNACHAL PRADESH,2014,7835,7508,7513,7616,112759,0
TIRAP,ARUNACHAL PRADESH,2014,8762,5441,5349,5778,63314,0
UPPER DIBANG VALLEY,ARUNACHAL PRADESH,2014,2066,1277,876,877,4475,0
UPPER SIANG,ARUNACHAL PRADESH,2014,4830,4601,4585,4598,78844,0
UPPER SUBANSIRI,ARUNACHAL PRADESH,2014,16200,15812,15177,16643,154394,0
WEST KAMENG,ARUNACHAL PRADESH,2014,10038,7712,7634,7817,133554,0
WEST SIANG,ARUNACHAL PRADESH,2014,12090,1790,1502,1879,30286,28
BAKSA,ASSAM,2014,205226,49497,45130,50802,836547,40
