District,State,Year,Women_Employment_Provided,Workers_SC,Workers_ST,Workers_Total
ADILABAD,TELANGANA,2014,280593.0,275544.0,120610.0,236703.0
ADILABAD,TELANGANA,2015,299747.0,294225.0,126433.0,255196.0
ADILABAD,TELANGANA,2016,79765.0,75222.0,25782.0,54058.0
ADILABAD,TELANGANA,2017,71569.0,67819.0,23323.0,44920.0
ADILABAD,TELANGANA,2018,74113.0,69952.0,23047.0,48598.0
ADILABAD,TELANGANA,2019,73490.0,67404.0,22330.0,46048.0
ADILABAD,TELANGANA,2020,97499.0,91849.0,31429.0,68868.0
ADILABAD,TELANGANA,2021,93441.0,87453.0,28634.0,64956.0
ADILABAD,TELANGANA,2022,82375.0,78121.0,25620.0,54610.0
ADILABAD,TELANGANA,2023,84805.0,77515.0,25058.0,50843.0
ADILABAD,TELANGANA,2024,94080.0,85832.0,27289.0,58914.0
ADILABAD,TELANGANA,2025,87517.0,79584.0,24481.0,52987.0
AGAR-MALWA,MADHYA PRADESH,2015,26002.0,25616.0,15787.0,40255.0
AGAR-MALWA,MADHYA PRADESH,2016,26600.0,23943.0,16373.0,38171.0
AGAR-MALWA,MADHYA PRADESH,2017,36840.0,28543.0,20676.0,48186.0
AGAR-MALWA,MADHYA PRADESH,2018,38115.0,24938.0,19478.0,43897.0
AGAR-MALWA,MADHYA PRADESH,2019,32884.0,20232.0,14023.0,38326.0
AGAR-MALWA,MADHYA PRADESH,2020,43752.0,28277.0,17858.0,51940.0
AGAR-MALWA,MADHYA PRADESH,2021,36183.0,21546.0,13465.0,41589.0
AGAR-MALWA,MADHYA PRADESH,2022,40758.0,26520.0,19307.0,44761.0
AGAR-MALWA,MADHYA PRADESH,2023,35862.0,22955.0,13847.0,41098.0
AGAR-MALWA,MADHYA PRADESH,2024,34679.0,21580.0,13043.0,37987.0
AGAR-MALWA,MADHYA PRADESH,2025,42234.0,27565.0,17453.0,46803.0
AGRA,UTTAR PRADESH,2014,38538.0,10083.0,14404.0,28234.0
AGRA,UTTAR PRADESH,2015,44417.0,13607.0,18437.0,32619.0
AGRA,UTTAR PRADESH,2016,42337.0,12585.0,17247.0,31561.0
AGRA,UTTAR PRADESH,2017,40171.0,13799.0,16427.0,31389.0
AGRA,UTTAR PRADESH,2018,38957.0,13809.0,15247.0,30909.0
AGRA,UTTAR PRADESH,2019,51814.0,19550.0,20427.0,41470.0
AGRA,UTTAR PRADESH,2020,96749.0,37988.0,39677.0,80999.0
AGRA,UTTAR PRADESH,2021,83259.0,33710.0,33307.0,70068.0
AGRA,UTTAR PRADESH,2022,83322.0,38571.0,32203.0,73256.0
AGRA,UTTAR PRADESH,2023,91022.0,45647.0,34427.0,81184.0
AGRA,UTTAR PRADESH,2024,84307.0,42442.0,30612.0,73870.0
AGRA,UTTAR PRADESH,2025,76678.0,39899.0,28423.0,67661.0
AHILYANAGAR,MAHARASHTRA,2016,46980.0,38740.0,5282.0,75486.0
AHILYANAGAR,MAHARASHTRA,2017,50117.0,37603.0,8926.0,74127.0
AHILYANAGAR,MAHARASHTRA,2018,66428.0,50856.0,13174.0,94210.0
