District,Unskilled_Wage_Current,Unskilled_Wage_Previous_Liability,Total_Expenditure,Avg_Wage_Per_Personday,Cost Per Personday,Year,State
NICOBARS,65.59,6.51,72.69,235.09,236.09,2014,ANDAMAN AND NICOBAR
NORTH AND MIDDLE ANDAMAN,632.61,99.12,834.91,222.16,243.62,2014,ANDAMAN AND NICOBAR
SOUTH ANDAMAN,11.26,0.0,67.25,222.02,356.94,2014,ANDAMAN AND NICOBAR
ANANTAPUR,16709.29,209.74,30632.46,129.15,220.14,2014,ANDHRA PRADESH
CHITTOOR,11541.15,127.82,19433.89,119.99,197.9,2014,ANDHRA PRADESH
CUDDAPAH,11579.16,173.19,18093.19,119.52,181.98,2014,ANDHRA PRADESH
EAST GODAVARI,15247.76,225.55,26199.05,128.78,214.63,2014,ANDHRA PRADESH
GUNTUR,9388.27,128.9,12504.51,124.89,164.31,2014,ANDHRA PRADESH
KRISHNA,6490.26,151.64,10644.2,113.57,180.27,2014,ANDHRA PRADESH
KURNOOL,8281.69,225.49,15183.91,112.09,195.97,2014,ANDHRA PRADESH
NELLORE,5514.64,117.03,8873.91,102.19,159.37,2014,ANDHRA PRADESH
PRAKASAM,13800.09,344.03,21993.34,100.82,156.07,2014,ANDHRA PRADESH
SRIKAKULAM,21220.47,478.52,27884.9,117.59,148.98,2014,ANDHRA PRADESH
VISAKHAPATANAM,20582.78,262.49,26461.25,118.4,149.34,2014,ANDHRA PRADESH
VIZIANAGARAM,23197.95,306.28,27637.92,108.6,126.36,2014,ANDHRA PRADESH
WEST GODAVARI,6142.67,174.18,9282.7,114.7,165.91,2014,ANDHRA PRADESH
ANJAW,70.86,0.0,117.56,140.5,231.57,2014,ARUNACHAL PRADESH
CHANGLANG,156.46,0.0,237.02,149.82,212.01,2014,ARUNACHAL PRADESH
EAST KAMENG,88.02,0.26,117.67,155.0,223.13,2014,ARUNACHAL PRADESH
EAST SIANG,52.24,0.0,91.37,155.0,234.14,2014,ARUNACHAL PRADESH
KRA-DAADI,0.0,0.0,0.0,0.0,0.0,2014,ARUNACHAL PRADESH
KURUNG KUMEY,181.51,0.0,298.58,153.99,222.18,2014,ARUNACHAL PRADESH
LOHIT,340.64,0.0,609.29,155.0,277.24,2014,ARUNACHAL PRADESH
LONGDING,47.5,4.77,106.04,152.76,196.44,2014,ARUNACHAL PRADESH
LOWER DIBANG VALLEY,111.99,0.0,180.16,154.98,216.11,2014,ARUNACHAL PRADESH
LOWER SUBANSIRI,165.23,0.89,296.68,154.92,230.4,2014,ARUNACHAL PRADESH
NAMSAI,0.0,0.0,0.0,0.0,0.0,2014,ARUNACHAL PRADESH
PAPUM PARE,164.39,0.0,274.35,154.99,219.22,2014,ARUNACHAL PRADESH
SIANG,63.74,0.0,102.44,155.0,248.55,2014,ARUNACHAL PRADESH
TAWANG,97.39,0.0,142.31,154.89,194.72,2014,ARUNACHAL PRADESH
TIRAP,48.79,0.0,82.98,154.59,208.28,2014,ARUNACHAL PRADESH
UPPER DIBANG VALLEY,4.3,0.0,23.63,146.21,578.22,2014,ARUNACHAL PRADESH
UPPER SIANG,78.13,0.0,142.13,155.13,238.54,2014,ARUNACHAL PRADESH
UPPER SUBANSIRI,104.08,0.69,146.89,145.73,248.05,2014,ARUNACHAL PRADESH
WEST KAMENG,138.75,0.1,295.5,155.0,275.76,2014,ARUNACHAL PRADESH
WEST SIANG,33.24,0.0,54.92,152.29,248.23,2014,ARUNACHAL PRADESH
BAJALI,0.0,0.0,0.0,0.0,0.0,2014,ASSAM
BAKSA,836.01,293.07,1820.72,167.0,235.98,2014,ASSAM
BARPETA,832.66,42.84,1348.09,166.93,220.66,2014,ASSAM
BISWANATH,0.0,0.0,0.0,0.0,0.0,2014,ASSAM
BONGAIGAON,611.83,0.0,892.39,167.0,238.77,2014,ASSAM
CACHAR,1983.51,274.5,2962.55,166.99,220.97,2014,ASSAM
CHARAIDEO,0.0,0.0,0.0,0.0,0.0,2014,ASSAM
CHIRANG,1337.28,10.64,1706.77,167.0,201.26,2014,ASSAM
DARRANG,1000.46,0.26,1582.91,166.98,250.56,2014,ASSAM
DHEMAJI,328.85,0.69,585.84,166.96,292.87,2014,ASSAM
DHUBRI,1212.43,7.88,1891.4,167.0,241.47,2014,ASSAM
DIBRUGARH,1196.29,70.62,1929.73,166.98,252.9,2014,ASSAM
DIMA HASAO,107.72,0.12,307.23,166.83,243.27,2014,ASSAM
GOALPARA,768.94,0.51,1052.13,167.0,215.02,2014,ASSAM
GOLAGHAT,748.77,8.14,1080.43,166.98,234.41,2014,ASSAM
HAILAKANDI,344.2,102.75,556.39,166.94,214.77,2014,ASSAM
HOJAI,0.0,0.0,0.0,0.0,0.0,2014,ASSAM
JORHAT,981.08,0.82,1636.62,167.0,273.34,2014,ASSAM
KAMRUP,1542.21,45.27,2149.93,166.99,213.79,2014,ASSAM
KAMRUP (METRO),164.71,3.47,270.96,166.99,270.27,2014,ASSAM
KARBI ANGLONG,1228.23,0.0,2079.6,167.0,281.44,2014,ASSAM
KARIMGANJ,376.38,0.88,535.83,166.94,235.2,2014,ASSAM
KOKRAJHAR,517.83,4.37,880.87,166.82,279.97,2014,ASSAM
LAKHIMPUR,1865.41,32.39,2494.11,167.0,215.68,2014,ASSAM
MAJULI,0.0,0.0,0.0,0.0,0.0,2014,ASSAM
MORIGAON,2925.96,811.5,6243.66,166.99,303.77,2014,ASSAM
NAGAON,6061.32,893.28,10197.88,167.0,254.71,2014,ASSAM
NALBARI,383.3,1.97,588.47,166.9,251.82,2014,ASSAM
SIVASAGAR,1527.16,2.47,2625.07,167.0,285.67,2014,ASSAM
SONITPUR,486.17,4.5,741.02,166.86,250.26,2014,ASSAM
SOUTH SALMARA-MANKACHAR,0.0,0.0,0.0,0.0,0.0,2014,ASSAM
TAMULPUR,0.0,0.0,0.0,0.0,0.0,2014,ASSAM
TINSUKIA,965.56,27.31,1280.9,166.99,258.67,2014,ASSAM
UDALGURI,149.74,3.48,261.74,166.87,276.54,2014,ASSAM
WEST KARBI ANGLONG,0.0,0.0,0.0,0.0,0.0,2014,ASSAM
ARARIA,556.13,647.11,2654.1,166.07,428.34,2014,BIHAR
ARWAL,132.56,174.38,555.37,164.7,277.22,2014,BIHAR
AURANAGABAD,1282.46,966.54,3723.06,163.83,272.03,2014,BIHAR
BANKA,520.69,324.35,2091.71,165.64,365.35,2014,BIHAR
BEGUSARAI,957.1,905.56,4034.42,168.43,380.44,2014,BIHAR
BHAGALPUR,874.32,418.13,3284.73,166.86,354.29,2014,BIHAR
BHOJPUR,578.0,576.82,2522.23,165.85,327.89,2014,BIHAR
BUXAR,816.87,601.68,2974.55,168.18,317.86,2014,BIHAR
DARBHANGA,640.27,667.75,2631.49,164.62,262.59,2014,BIHAR
