Name,Persons,"Area
 (In sq. km)"
Adilabad,"19,80,980",15751.3
Agra,"23,94,602",3793.04
Ahmadabad,"11,51,178",7186.56
Ahmadnagar,"36,30,542",16581.43
Aizawl,"85,555",3400.0
Ajmer,"15,47,642",8091.33
Akola,"10,94,165",5588.85
Alappuzha,"9,79,643",864.89
Aligarh,"24,56,698",3423.12
Alirajpur,"6,71,925",3139.36
Allahabad ,"44,81,518",5279.07
Almora,"5,60,192",3108.32
Alwar,"30,19,728",8146.42
Ambala,"6,27,576",1440.4
Ambedkar Nagar,"21,17,158",2255.08
Amravati,"18,51,158",11967.64
Amreli,"11,27,555",7084.2
Amritsar ,"11,56,045",2462.03
Anand  ,"14,57,758",2904.01
Anantapur,"29,35,437",18753.11
Anantnag,"7,95,805",3475.76
Anjaw,"20,185",
Anugul  ,"10,67,275",6198.12
Anuppur,"5,43,996",3543.81
Araria,"26,42,792",2778.93
Ariyalur  ,"6,71,100",1886.69
Arwal,"6,48,994",613.57
Ashoknagar,"6,91,387",4611.46
Auraiya,"11,45,323",1952.63
Aurangabad,"23,03,219",3244.13
Aurangabad,"20,81,112",9821.54
Azamgarh,"42,20,512",3967.23
Badgam,"6,55,833",1311.95
Bagalkot ,"12,91,906",6369.08
Bageshwar,"2,50,819",2235.5
Baghpat,"10,28,023",1271.92
Bahraich,"32,03,687",5205.74
Baksa,"9,37,833",2451.14
Balaghat,"14,56,882",9021.68
Balangir,"14,51,616",6474.29
Baleshwar,"20,67,236",3675.32
Ballia,"29,35,665",2912.8
Balrampur,"19,82,274",3290.54
Banas Kantha,"27,05,591",10544.75
Banda,"15,23,655",4347.72
Bandipore,"3,26,871",295.37
Bangalore,"8,71,607",1391.15
Bangalore Rural,"7,22,179",2229.55
Banka,"19,63,450",2989.95
Bankura ,"32,96,901",6791.53
Banswara,"16,69,864",4494.25
Bara Banki,"29,29,896",4337.13
Baramula,"8,25,539",4179.44
Baran,"9,68,541",6846.71
Barddhaman ,"46,39,264",6095.98
Bareilly,"28,79,950",3841.93
Bargarh,"13,31,145",5759.09
Barmer,"24,21,914",28320.0
Barnala,"4,04,842",1431.25
Barpeta,"15,46,269",2245.62
Barwani ,"11,81,812",5326.26
Bastar,"12,19,705",10296.29
Basti,"23,26,367",2662.04
Bathinda,"8,89,308",3193.91
Baudh,"4,20,738",3077.28
Begusarai,"24,00,718",1776.28
Belgaum,"35,68,466",13014.51
Bellary,"15,32,356",8048.73
Betul,"12,66,211",9941.17
Bhadrak,"13,20,499",2388.57
Bhagalpur,"24,35,234",2499.9
Bhandara,"9,66,503",4014.66
Bharatpur,"20,53,363",4916.38
Bharuch,"10,26,060",6339.21
Bhavnagar,"16,97,964",9625.46
Bhilwara,"18,95,869",10143.82
Bhind,"12,70,083",4231.96
Bhiwani,"13,13,123",4719.93
Bhojpur,"23,38,546",2311.23
Bhopal,"4,54,010",2421.95
Bid,"20,70,751",10534.69
Bidar,"12,77,348",5283.27
Bijapur,"2,25,630",8448.71
Bijapur,"16,75,353",10234.53
Bijnor,"27,57,401",4451.28
Bikaner,"15,63,553",30028.81
Bilaspur,"3,56,827",1149.47
Bilaspur,"19,83,759",7983.44
Birbhum,"30,52,956",4424.56
Bishnupur,"1,49,894",458.98
Bokaro,"10,78,686",2446.21
Bongaigaon,"6,28,994",1061.31
Budaun,"30,37,301",4985.13
Bulandshahr ,"26,31,742",4338.49
Buldana,"20,37,398",9540.24
Bundi,"8,88,205",5596.31
Burhanpur,"4,97,560",3345.82
Buxar,"15,41,853",1681.5
Cachar,"14,21,153",3721.41
Central,0,0.0
Chamarajanagar,"8,45,817",5582.37
Chamba,"4,82,972",6501.26
Chamoli,"3,32,209",7990.47
Champawat,"2,21,305",1752.96
Champhai,"77,216",3105.0
Chandauli,"17,10,203",2487.28
Chandel,"1,27,335",3312.0
Chandigarh,"28,991",4.47
Chandrapur,"14,28,929",11152.4
Changlang,"1,28,998",
Chatra,"9,79,932",3685.39
Chennai,0,0.0
Chhatarpur,"13,63,359",8315.36
Chhindwara,"15,85,739",11591.51
Chikkaballapura,"9,73,985",4186.67
Chikmagalur,"8,98,453",7091.47
Chirang,"4,46,825",1910.94
Chitradurga,"13,29,923",8295.99
Chitrakoot,"8,95,398",3187.23
Chittaurgarh,"12,59,074",7672.14
Chittoor,"29,42,678",14833.38
Churachandpur,"2,55,786",4570.0
Churu,"14,63,312",13632.34
Coimbatore,"8,39,105",3103.88
Cuddalore,"17,20,725",3243.69
Cuttack,"18,88,423",3703.07
Dadra & Nagar Haveli,"1,83,114",445.3
Dakshin Bastar Dantewada,"4,37,405",8154.9
Dakshin Dinajpur,"14,39,981",2187.08
Dakshina Kannada,"10,93,563",4309.74
Daman,"32,313",35.14
Damoh,"10,13,668",7155.51
Darbhanga,"35,54,057",2211.47
Darjiling ,"11,18,860",2995.51
Darrang,"8,73,006",1572.61
Datia,"6,04,772",2872.21
Dausa,"14,32,616",3391.54
Davanagere,"13,16,487",5780.31
Debagarh,"2,90,130",2915.87
Dehradun,"7,54,753",2815.7
Deoghar,"12,33,712",2345.26
Deoria,"27,84,143",2463.08
Dewas,"11,11,956",6808.49
Dhalai,"3,37,731",2364.29
Dhamtari ,"6,50,586",3985.51
Dhanbad,"11,24,093",1684.77
Dhar,"17,72,572",7921.54
Dharmapuri,"12,45,931",4407.43
Dharwad,"7,97,484",3958.91
Dhaulpur,"9,59,066",2964.41
Dhemaji,"6,37,848",3221.45
Dhenkanal,"10,75,305",4383.82
Dhubri,"17,45,557",2144.06
Dhule,"14,79,826",7078.33
Dibang Valley,"5,620",
Dibrugarh,"10,82,605",3335.52
Dima Hasao,"1,51,613",4866.23
Dimapur ,"1,80,942",859.87
Dindigul,"13,51,735",5473.21
Dindori ,"6,72,206",7448.94
Diu,"28,083",27.34
Doda,"3,77,247",8892.25
Dohad  ,"19,35,461",3592.04
Dumka,"12,31,264",3733.75
Dungarpur,"12,99,809",3743.3
Durg,"20,59,107",7980.14
East,"3,530",0.27
East District,"1,61,096",928.83
East Garo Hills,"2,73,725",2578.46
East Godavari,"38,40,324",10506.56
East Kameng,"60,340",
East Khasi Hills,"4,59,441",2679.38
East Siang,"71,579",
Ernakulam,"10,48,025",2137.74
Erode,"10,93,768",4991.71
Etah,"15,06,338",2392.79
Etawah,"12,15,511",2260.42
Faizabad,"21,30,743",2266.23
Faridabad,"3,70,878",522.58
Faridkot,"4,00,457",1413.01
Farrukhabad,"14,69,019",2132.64
Fatehabad,"7,62,423",2503.26
Fatehgarh Sahib,"4,14,681",1102.33
Fatehpur,"23,10,740",4064.99
Firozabad,"16,64,987",2343.99
Firozpur,"14,76,518",5166.42
Gadag,"6,85,261",4386.56
Gadchiroli,"9,54,909",14336.76
Gajapati,"5,07,151",4287.95
Ganderbal,"2,50,407",233.6
Gandhinagar,"7,91,126",1763.41
Ganganagar ,"14,33,736",10879.88
